T_ramp,max_baseline,max_tighter_tol,max_denser_grid,abs_diff_tol,abs_diff_grid,rel_diff_tol,rel_diff_grid
0.02,4.220204827909413e-05,4.2202049315598344e-05,4.220204827909413e-05,1.0365042157900461e-12,0.0,2.4560519170428637e-08,0.0
0.2,3.830246055702702e-05,3.83024574874824e-05,3.830246055702702e-05,3.069544618483633e-12,0.0,8.013961959215413e-08,0.0
0.25,3.56816741753363e-05,3.568167341416739e-05,3.5694347948478367e-05,7.611689056830073e-13,1.2673773142068967e-08,2.1332208291087937e-08,0.0003551899801503503
1,1.2999620217613028e-05,1.2999621197273825e-05,1.3001078121632759e-05,9.796607969292381e-13,1.4579040197304494e-09,7.536072443115743e-08,0.00011214973940201367
8,4.3838171759347233e-07,4.383816127884188e-07,4.3838131258411295e-07,1.0480505352461478e-13,4.050093593832571e-13,2.3907259203223523e-07,9.238737454805023e-07
