T_ramp,K,L_max_ramp,t_peak_ramp,L_max_post,t_peak_post,L_max_full,t_peak_full,t_peak_full_over_Tramp,peak_location,refine_t,refine_L,refine_vs_coarse_diff
0.001,1,0.04237976469716642,0.001,0.0791672272345787,0.06906806806806806,0.0791672272345787,0.06906806806806806,69.06806806806806,post-ramp,nan,nan,nan
0.001,2,2.5848747604584332e-06,0.001,0.026691820312862546,0.06906806806806806,0.026691820312862546,0.06906806806806806,69.06806806806806,post-ramp,nan,nan,nan
0.001,3,1.2434497875801753e-12,0.001,4.219747417444353e-05,0.1051041041041041,4.219747417444353e-05,0.1051041041041041,105.1041041041041,post-ramp,0.10163090657323991,4.220324801806896e-05,5.773843625433983e-09
0.001,4,4.840572387365683e-13,0.001,1.6385060277457342e-05,0.1051041041041041,1.6385060277457342e-05,0.1051041041041041,105.1041041041041,post-ramp,nan,nan,nan
0.00113036,1,0.04239328317421709,0.00113036,0.07912859015394957,0.06919842806806806,0.07912859015394957,0.06919842806806806,61.21804386927002,post-ramp,nan,nan,nan
0.00113036,2,3.3004285526772037e-06,0.00113036,0.026658340329002606,0.06919842806806806,0.026658340329002606,0.06919842806806806,61.21804386927002,post-ramp,nan,nan,nan
0.00113036,3,2.0268231537556858e-12,0.00113036,4.21952392484215e-05,0.1052344641041041,4.21952392484215e-05,0.1052344641041041,93.09818474123651,post-ramp,0.1016818773332399,4.220279399458349e-05,7.554746161986259e-09
0.00113036,4,7.887024366937112e-13,0.00113036,1.6384174121419903e-05,0.1052344641041041,1.6384174121419903e-05,0.1052344641041041,93.09818474123651,post-ramp,nan,nan,nan
0.00127771,1,0.04240865804621663,0.00127771,0.0790849815657042,0.06934577806806806,0.0790849815657042,0.06934577806806806,54.27348777740494,post-ramp,nan,nan,nan
0.00127771,2,4.213657891050104e-06,0.00127771,0.026620555716475813,0.06934577806806806,0.026620555716475813,0.06934577806806806,54.27348777740494,post-ramp,nan,nan,nan
0.00127771,3,3.296918293926865e-12,0.00127771,4.219261912652428e-05,0.1053818141041041,4.219261912652428e-05,0.1053818141041041,82.47709895367814,post-ramp,0.10173949118323991,4.2202273903946264e-05,9.654777421985727e-09
0.00127771,4,1.2816414596272807e-12,0.00127771,1.63831606121434e-05,0.1013778101001001,1.63831606121434e-05,0.1013778101001001,79.34336437853668,post-ramp,nan,nan,nan
0.00144428,1,0.04242615883892853,0.00144428,0.07903576655684841,0.06951234806806807,0.07903576655684841,0.06951234806806807,48.129412626407664,post-ramp,nan,nan,nan
0.00144428,2,5.379115780357324e-06,0.00144428,0.026577917645440152,0.06951234806806807,0.026577917645440152,0.06951234806806807,48.129412626407664,post-ramp,nan,nan,nan
0.00144428,3,5.364597654988756e-12,0.00144428,4.2192793634043824e-05,0.1015443801001001,4.2192793634043824e-05,0.1015443801001001,70.30795974471715,post-ramp,0.10462930628004005,4.221637118728694e-05,2.3577553243114835e-08
0.00144428,4,2.085442929455894e-12,0.00144428,1.6384335992825072e-05,0.1015443801001001,1.6384335992825072e-05,0.1015443801001001,70.30795974471715,post-ramp,nan,nan,nan
0.00163255,1,0.04244609300119517,0.00163255,0.07898024431403261,0.06970061806806806,0.07898024431403261,0.06970061806806806,42.69432364587183,post-ramp,nan,nan,nan
0.00163255,2,6.8660077383597695e-06,0.00163255,0.02652982060090725,0.06970061806806806,0.02652982060090725,0.06970061806806806,42.69432364587183,post-ramp,nan,nan,nan
0.00163255,3,8.72635297355373e-12,0.00163255,4.219612368938641e-05,0.10173265010010009,4.219612368938641e-05,0.10173265010010009,62.31518183216446,post-ramp,0.10470612044004003,4.221669980086773e-05,2.057611148131855e-08
0.00163255,4,3.3928415632544784e-12,0.00163255,1.638560130690081e-05,0.10173265010010009,1.638560130690081e-05,0.10173265010010009,62.31518183216446,post-ramp,nan,nan,nan
0.00184537,1,0.04246882194279955,0.00184537,0.0789176150290416,0.06991343806806806,0.0789176150290416,0.06991343806806806,37.88586466024053,post-ramp,nan,nan,nan
0.00184537,2,8.762835743247877e-06,0.00184537,0.02647557383093968,0.06991343806806806,0.02647557383093968,0.06991343806806806,37.88586466024053,post-ramp,nan,nan,nan
0.00184537,3,1.41824330057716e-11,0.00184537,4.219968023289056e-05,0.10194547010010009,4.219968023289056e-05,0.10194547010010009,55.24391861800078,post-ramp,0.10479295100004005,4.221706010731907e-05,1.737987442851363e-08
0.00184537,4,5.516476164757478e-12,0.00184537,1.63869509863801e-05,0.10194547010010009,1.63869509863801e-05,0.10194547010010009,55.24391861800078,post-ramp,nan,nan,nan
