T_ramp,shape,L_max_ramp,t_peak_ramp,L_max_post,t_peak_post,L_max_full,t_peak_full,t_peak_full_over_Tramp,peak_location
0.001,linear,1.4273027204581012e-12,0.001,4.2186901216823e-05,0.1011669449081803,4.2186901216823e-05,0.1011669449081803,101.1669449081803,post-ramp
0.001523,linear,7.581490990560269e-12,0.001523,4.219647620651301e-05,0.1016899449081803,4.219647620651301e-05,0.1016899449081803,66.76949764161543,post-ramp
0.00232,linear,4.0104808363139455e-11,0.00232,4.220847035352193e-05,0.1024869449081803,4.220847035352193e-05,0.1024869449081803,44.17540728800875,post-ramp
0.003535,linear,2.1035617692177766e-10,0.003535,4.222075439841433e-05,0.1037019449081803,4.222075439841433e-05,0.1037019449081803,29.335769422398954,post-ramp
0.005385,linear,1.0867919897350475e-09,0.005385,4.2225669687034895e-05,0.1055519449081803,4.2225669687034895e-05,0.1055519449081803,19.601103975520946,post-ramp
0.008202,linear,5.492324817168992e-09,0.008202,4.220166976143247e-05,0.1083689449081803,4.220166976143247e-05,0.1083689449081803,13.21250242723486,post-ramp
0.012495,linear,2.6887213344650718e-08,0.012495,4.212620018417823e-05,0.10598414858096827,4.212620018417823e-05,0.10598414858096827,8.482124736372011,post-ramp
0.019033,linear,1.2526363768472493e-07,0.019033,4.2191674560321246e-05,0.1126002514619883,4.2191674560321246e-05,0.1126002514619883,5.916053773025181,post-ramp
0.028994,linear,5.421206195066475e-07,0.028994,4.2121802172445655e-05,0.11595052173913042,4.2121802172445655e-05,0.11595052173913042,3.9991212574715607,post-ramp
0.044166,linear,2.0995399481194e-06,0.044166,4.2005889202556546e-05,0.12463540486169321,4.2005889202556546e-05,0.12463540486169321,2.8219762908502743,post-ramp
0.067279,linear,6.889056069603328e-06,0.067279,4.160591674651215e-05,0.13450589075630254,4.160591674651215e-05,0.13450589075630254,1.9992254753534167,post-ramp
0.102486,linear,1.7651878478019967e-05,0.102486,4.0747805240215484e-05,0.1564944388185654,4.0747805240215484e-05,0.1564944388185654,1.5269835764744981,post-ramp
0.156118,linear,3.1323753205469984e-05,0.156118,3.830348562239294e-05,0.18330576550552252,3.830348562239294e-05,0.18330576550552252,1.174148820158614,post-ramp
0.237816,linear,3.2289461588952406e-05,0.23082141176470589,3.160038873861737e-05,0.24468295278969956,3.2289461588952406e-05,0.23082141176470589,0.9705882352941176,during-ramp
0.362268,linear,2.4788500473604813e-05,0.27702847058823526,1.2384757226868714e-05,0.36923664111498256,2.4788500473604813e-05,0.27702847058823526,0.7647058823529411,during-ramp
0.551845,linear,1.8273253726164285e-05,0.33401144736842103,7.641662207014122e-06,0.7726820436331256,1.8273253726164285e-05,0.33401144736842103,0.6052631578947367,during-ramp
0.840631,linear,1.2649448992263501e-05,0.39427825663716815,8.42285763980044e-06,1.002693615101289,1.2649448992263501e-05,0.39427825663716815,0.4690265486725664,during-ramp
1.28054,linear,8.140118996635692e-06,0.4656509090909091,7.362666208265978e-06,1.39659415860735,8.140118996635692e-06,0.4656509090909091,0.36363636363636365,during-ramp
1.950657,linear,4.862386550286146e-06,0.5418491666666667,5.11043752382534e-06,2.033558554404145,5.11043752382534e-06,2.033558554404145,1.0424992986486834,post-ramp
2.971452,linear,2.7983113639606927e-06,2.971452,3.03212712093881e-06,3.0354520000000003,3.03212712093881e-06,3.0354520000000003,1.0215382917173152,post-ramp
4.526437,linear,1.563893018641238e-06,4.526437,1.6270092046966056e-06,4.5786563211488245,1.6270092046966056e-06,4.5786563211488245,1.0115365178282223,post-ramp
6.89516,linear,7.994069415317995e-07,6.89516,8.155429052081331e-07,6.932369302325581,8.155429052081331e-07,6.932369302325581,1.005396437838365,post-ramp
10.503454,linear,3.859318056242955e-07,10.503454,3.899569822607418e-07,10.53428251637765,3.899569822607418e-07,10.53428251637765,1.0029350836760602,post-ramp
16.0,linear,1.7938856800014946e-07,16.0,1.8030836734794775e-07,16.02,1.8030836734794775e-07,16.02,1.00125,post-ramp
0.001,smootherstep,1.169730978745065e-12,0.001,4.218695388580329e-05,0.1011669449081803,4.218695388580329e-05,0.1011669449081803,101.1669449081803,post-ramp
0.001523,smootherstep,6.231459792616079e-12,0.001523,4.2196598221799775e-05,0.1016899449081803,4.2196598221799775e-05,0.1016899449081803,66.76949764161543,post-ramp
0.00232,smootherstep,3.303401996390676e-11,0.00232,4.2208753289862955e-05,0.1024869449081803,4.2208753289862955e-05,0.1024869449081803,44.17540728800875,post-ramp
0.003535,smootherstep,1.738316157684494e-10,0.003535,4.222141165932669e-05,0.1037019449081803,4.222141165932669e-05,0.1037019449081803,29.335769422398954,post-ramp
0.005385,smootherstep,9.02481644970976e-10,0.005385,4.2227194462007844e-05,0.1055519449081803,4.2227194462007844e-05,0.1055519449081803,19.601103975520946,post-ramp
0.008202,smootherstep,4.594519431577737e-09,0.008202,4.220519503128628e-05,0.1083689449081803,4.220519503128628e-05,0.1083689449081803,13.21250242723486,post-ramp
0.012495,smootherstep,2.2741136973536413e-08,0.012495,4.21353320350093e-05,0.10598414858096827,4.21353320350093e-05,0.10598414858096827,8.482124736372011,post-ramp
0.019033,smootherstep,1.0769407676747278e-07,0.019033,4.22126791015387e-05,0.1126002514619883,4.22126791015387e-05,0.1126002514619883,5.916053773025181,post-ramp
0.028994,smootherstep,4.773898476528871e-07,0.028994,4.2175440857938895e-05,0.11595052173913042,4.2175440857938895e-05,0.11595052173913042,3.9991212574715607,post-ramp
0.044166,smootherstep,1.913634214645299e-06,0.044166,4.213928063645511e-05,0.12463540486169321,4.213928063645511e-05,0.12463540486169321,2.8219762908502743,post-ramp
0.067279,smootherstep,6.587159761650696e-06,0.067279,4.196489935370806e-05,0.13450589075630254,4.196489935370806e-05,0.13450589075630254,1.9992254753534167,post-ramp
0.102486,smootherstep,1.797196337438578e-05,0.102486,4.1629082999428135e-05,0.1564944388185654,4.1629082999428135e-05,0.1564944388185654,1.5269835764744981,post-ramp
0.156118,smootherstep,3.4285813227619144e-05,0.156118,4.0725432538302186e-05,0.18330576550552252,4.0725432538302186e-05,0.18330576550552252,1.174148820158614,post-ramp
0.237816,smootherstep,3.814909271948608e-05,0.22382682352941177,3.57948505032013e-05,0.24468295278969956,3.814909271948608e-05,0.22382682352941177,0.9411764705882353,during-ramp
0.362268,smootherstep,3.274385322615814e-05,0.2912350588235294,1.2759383262839208e-05,0.36923664111498256,3.274385322615814e-05,0.2912350588235294,0.803921568627451,during-ramp
0.551845,smootherstep,2.558878003178222e-05,0.37757815789473687,6.018369491656017e-06,0.7370631656277827,2.558878003178222e-05,0.37757815789473687,0.6842105263157895,during-ramp
0.840631,smootherstep,1.8267325073040297e-05,0.4984272300884956,7.104029164040071e-06,0.9216623075506446,1.8267325073040297e-05,0.4984272300884956,0.5929203539823009,during-ramp
1.28054,smootherstep,1.1783371206774973e-05,0.6596721212121213,6.543812007819838e-06,1.2882769439071566,1.1783371206774973e-05,0.6596721212121213,0.5151515151515151,during-ramp
1.950657,smootherstep,6.792123211418755e-06,0.8836309487179488,2.7505143913586494e-06,1.9589471554404145,6.792123211418755e-06,0.8836309487179488,0.452991452991453,during-ramp
2.971452,smootherstep,3.517190404700443e-06,1.2014204074074075,6.234898473067574e-07,2.9805948571428575,3.517190404700443e-06,1.2014204074074075,0.404320987654321,during-ramp
4.526437,smootherstep,1.6724957108138483e-06,1.6621327551963045,9.309819404279551e-08,4.536880864229764,1.6724957108138483e-06,1.6621327551963045,0.3672055427251732,during-ramp
6.89516,smootherstep,7.527425474052052e-07,2.3523199277978337,1.0556278517981355e-08,6.907563100775193,7.527425474052052e-07,2.3523199277978337,0.3411552346570397,during-ramp
10.503454,smootherstep,3.29268793564097e-07,3.398176294117647,1.0111502746212864e-09,10.518868258188824,3.29268793564097e-07,3.398176294117647,0.3235294117647059,during-ramp
16.0,smootherstep,1.423144171397439e-07,4.986232790988736,8.766853909492056e-11,16.02,1.423144171397439e-07,4.986232790988736,0.311639549436796,during-ramp
0.001,smoothstep,1.2434497875801753e-12,0.001,4.21869381552753e-05,0.1011669449081803,4.21869381552753e-05,0.1011669449081803,101.1669449081803,post-ramp
0.001523,smoothstep,6.624922832543234e-12,0.001523,4.21965617309894e-05,0.1016899449081803,4.21965617309894e-05,0.1016899449081803,66.76949764161543,post-ramp
0.00232,smoothstep,3.508482393499435e-11,0.00232,4.220866862869599e-05,0.1024869449081803,4.220866862869599e-05,0.1024869449081803,44.17540728800875,post-ramp
0.003535,smoothstep,1.844355779212492e-10,0.003535,4.222121524133371e-05,0.1037019449081803,4.222121524133371e-05,0.1037019449081803,29.335769422398954,post-ramp
0.005385,smoothstep,9.560654490314846e-10,0.005385,4.222673967824164e-05,0.1055519449081803,4.222673967824164e-05,0.1055519449081803,19.601103975520946,post-ramp
0.008202,smoothstep,4.856103075212559e-09,0.008202,4.220414623468116e-05,0.1083689449081803,4.220414623468116e-05,0.1083689449081803,13.21250242723486,post-ramp
0.012495,smoothstep,2.3953074190785628e-08,0.012495,4.21326270219069e-05,0.10598414858096827,4.21326270219069e-05,0.10598414858096827,8.482124736372011,post-ramp
0.019033,smoothstep,1.1285491119394919e-07,0.019033,4.220648661767967e-05,0.1126002514619883,4.220648661767967e-05,0.1126002514619883,5.916053773025181,post-ramp
0.028994,smoothstep,4.96543573369479e-07,0.028994,4.215973771692916e-05,0.11595052173913042,4.215973771692916e-05,0.11595052173913042,3.9991212574715607,post-ramp
0.044166,smoothstep,1.969281307800941e-06,0.044166,4.210053209074971e-05,0.12463540486169321,4.210053209074971e-05,0.12463540486169321,2.8219762908502743,post-ramp
0.067279,smoothstep,6.679773044915294e-06,0.067279,4.186149317408905e-05,0.13450589075630254,4.186149317408905e-05,0.13450589075630254,1.9992254753534167,post-ramp
0.102486,smoothstep,1.788280195569314e-05,0.102486,4.13769711906653e-05,0.1564944388185654,4.13769711906653e-05,0.1564944388185654,1.5269835764744981,post-ramp
0.156118,smoothstep,3.340616133762353e-05,0.156118,4.003113591277696e-05,0.18330576550552252,4.003113591277696e-05,0.18330576550552252,1.174148820158614,post-ramp
0.237816,smoothstep,3.633296072003134e-05,0.23082141176470589,3.4613097659175196e-05,0.24468295278969956,3.633296072003134e-05,0.23082141176470589,0.9705882352941176,during-ramp
0.362268,smoothstep,2.9744819953769763e-05,0.2912350588235294,1.2795450426317245e-05,0.36923664111498256,2.9744819953769763e-05,0.2912350588235294,0.803921568627451,during-ramp
0.551845,smoothstep,2.2437406040687335e-05,0.3703170394736842,6.585877007303509e-06,0.7441869412288513,2.2437406040687335e-05,0.3703170394736842,0.6710526315789473,during-ramp
0.840631,smoothstep,1.555589976831584e-05,0.46867038053097343,7.568842110394769e-06,0.9511282375690608,1.555589976831584e-05,0.46867038053097343,0.5575221238938053,during-ramp
1.28054,smoothstep,9.756482717726556e-06,0.6053461818181818,6.843375928156092e-06,1.2960138878143133,9.756482717726556e-06,0.6053461818181818,0.4727272727272727,during-ramp
1.950657,smoothstep,5.49122896931209e-06,0.7919333974358974,3.901483546009388e-06,1.9589471554404145,5.49122896931209e-06,0.7919333974358974,0.40598290598290593,during-ramp
2.971452,smoothstep,2.7948403493738283e-06,1.0363397407407409,1.3995418877144061e-06,2.9805948571428575,2.7948403493738283e-06,1.0363397407407409,0.3487654320987654,during-ramp
4.526437,smoothstep,1.3136910688160697e-06,1.3903374618937643,3.820096967643849e-07,4.536880864229764,1.3136910688160697e-06,1.3903374618937643,0.3071593533487298,during-ramp
6.89516,smoothstep,5.868183237112135e-07,1.9167051263537904,8.800089812410761e-08,6.907563100775193,5.868183237112135e-07,1.9167051263537904,0.2779783393501805,during-ramp
10.503454,smoothstep,2.5559747562908797e-07,2.7030947794117646,1.8247027000484195e-08,10.518868258188824,2.5559747562908797e-07,2.7030947794117646,0.25735294117647056,during-ramp
16.0,smoothstep,1.1026325630325573e-07,3.9249061326658325,3.5442351276060435e-09,16.02,1.1026325630325573e-07,3.9249061326658325,0.24530663329161453,during-ramp
