candidate_id,snapshot_id,candidate_source,node_ids,boundary_ids,C_internal,G_internal,L_blanket,D_local,external_entropy,directional_contrast,structural_shell_size,boundary_budget,boundary_size,is_pareto
seed3__same_direction__fE1.00__t20__c02467,seed3__same_direction__fE1.00__t20,spectral_resized,22|23|31|32|40|41|42|43|50|51|52|53|54|60|61|62|63|70|71|72,11|12|13|14|20|21|24|30|33|34|44|45,1.0,0.11495123102919864,0.0,0.0,-0.0,0.0,21,12,12,False
seed3__same_direction__fE1.00__t20__c02468,seed3__same_direction__fE1.00__t20,region_growing,1|3|4|5|6|12|13|14|15|23|24|26|27|32|33|35|45|46|47|58,0|2|10|11|16|21|22|31|41|42|43|44,1.0,0.11855652236152578,-3.484172123918577e-05,0.0,-0.0,0.0,31,12,12,False
seed3__same_direction__fE1.00__t20__c02469,seed3__same_direction__fE1.00__t20,perturb_I0,34|39|45|47|49|56|57|58|59|66|67|69|77|78|87|88|89|97|98|99,23|24|25|28|29|33|35|36|37|38|43|68,1.0,0.012801578370064187,-0.0001223777861595057,0.0,-0.0,0.0,23,12,12,False
seed3__same_direction__fE1.00__t20__c02470,seed3__same_direction__fE1.00__t20,region_growing,38|48|49|58|59|66|67|68|69|77|78|79|85|86|88|89|95|97|98|99,37|39|47|55|56|65|74|75|76|84|87|96,1.0,0.012095657592484496,0.0,0.0,-0.0,0.0,17,12,12,False
seed3__same_direction__fE1.00__t20__c02471,seed3__same_direction__fE1.00__t20,mcmc_swap,3|14|23|24|35|43|44|50|52|61|65|70|74|81|82|83|84|85|91|93,4|5|12|13|15|32|33|40|41|42|51|60,1.0,0.011342108058406315,0.00013551229944781703,0.0,-0.0,0.0,40,12,12,False
seed3__same_direction__fE1.00__t20__c02472,seed3__same_direction__fE1.00__t20,mcmc_swap,7|17|18|26|28|36|37|43|44|46|47|55|64|66|67|76|78|88|89|99,6|8|9|16|19|33|34|42|52|87|97|98,1.0,0.004460501318100424,-0.0003587909462352995,0.0,-0.0,0.0,38,12,12,False
seed3__same_direction__fE1.00__t20__c02473,seed3__same_direction__fE1.00__t20,spectral_resized,20|31|40|41|43|45|50|51|52|53|54|56|60|61|62|65|67|68|72|74,10|11|21|22|30|32|33|34|35|42|44|63,1.0,0.06082950335175794,-0.00012645811135500746,0.0,-0.0,0.0,35,12,12,False
seed3__same_direction__fE1.00__t20__c02474,seed3__same_direction__fE1.00__t20,perturb_I0,46|48|49|56|57|59|66|67|68|69|76|77|79|86|87|88|89|97|98|99,35|36|37|38|39|45|47|58|65|75|85|96,1.0,0.012782814487699534,-0.0001223777861595057,0.0,-0.0,0.0,15,12,12,False
seed3__same_direction__fE1.00__t20__c02475,seed3__same_direction__fE1.00__t20,region_growing,2|3|5|6|12|14|16|22|23|25|26|32|33|35|36|44|45|46|53|55,4|7|11|13|15|21|24|31|34|41|42|43,1.0,0.0209958413174331,-3.578717379013399e-06,0.0,-0.0,0.0,26,12,12,False
seed3__same_direction__fE1.00__t20__c02476,seed3__same_direction__fE1.00__t20,perturb_I0,47|48|57|58|59|66|67|68|69|76|77|84|86|88|89|95|96|97|98|99,36|37|38|39|46|49|55|56|65|73|74|87,1.0,0.012370222840652308,-0.0002745652481678119,0.0,-0.0,0.0,19,12,12,False
seed3__same_direction__fE1.00__t20__c02477,seed3__same_direction__fE1.00__t20,perturb_I0,37|47|48|49|56|57|58|59|66|67|68|69|75|76|77|78|87|88|89|98,26|27|28|36|38|39|45|46|55|64|97|99,1.0,0.004466598646744861,-0.0001223777861595057,0.0,-0.0,0.0,19,12,12,False
seed3__same_direction__fE1.00__t20__c02478,seed3__same_direction__fE1.00__t20,region_growing,6|9|15|16|18|26|27|28|29|38|47|49|55|56|58|59|67|68|69|78,5|7|8|14|17|19|24|35|36|37|39|79,1.0,0.001340539899788659,-4.570399566252714e-05,0.0,-0.0,0.0,28,12,12,False
seed3__same_direction__fE1.00__t20__c02479,seed3__same_direction__fE1.00__t20,perturb_I0,36|47|48|49|58|59|66|67|68|69|76|77|85|86|87|88|89|97|98|99,25|26|27|35|37|38|39|45|46|55|56|57,1.0,0.013012204041981789,-0.0002745652481678119,0.0,-0.0,0.0,21,12,12,False
seed3__same_direction__fE1.00__t20__c02480,seed3__same_direction__fE1.00__t20,high_coherence,38|39|48|58|59|66|67|68|69|75|76|77|78|79|86|87|89|96|98|99,37|47|49|55|56|57|64|65|74|84|85|88,1.0,0.0022210845555225905,-3.758226950136001e-06,0.0,-0.0,0.0,17,12,12,False
seed3__same_direction__fE1.00__t20__c02481,seed3__same_direction__fE1.00__t20,mcmc_swap,14|22|23|24|31|33|35|42|44|45|50|52|61|63|64|73|82|84|92|94,3|4|5|13|15|30|32|40|41|43|51|60,1.0,0.030916547624195316,-8.855185785434355e-05,0.0,-0.0,0.0,38,12,12,False
seed3__same_direction__fE1.00__t20__c02482,seed3__same_direction__fE1.00__t20,mcmc_swap,14|25|34|35|36|43|52|63|70|71|73|76|80|83|85|86|90|91|92|94,3|4|5|13|15|23|24|33|42|51|53|61,1.0,0.000911245266048593,1.4288691887865378e-05,0.0,-0.0,0.0,41,12,12,False
seed3__same_direction__fE1.00__t20__c02483,seed3__same_direction__fE1.00__t20,region_growing,5|7|8|9|15|17|18|19|24|25|26|28|29|37|38|39|48|58|68|78,4|6|14|16|23|33|36|46|47|49|57|59,1.0,0.022240168007902048,-0.00020660324243215142,0.0,-0.0,0.0,23,12,12,False
seed3__same_direction__fE1.00__t20__c02484,seed3__same_direction__fE1.00__t20,spectral_resized,2|4|11|13|14|23|24|25|31|33|35|41|42|43|50|51|52|53|61|72,3|5|12|15|20|21|22|30|32|40|44|60,1.0,0.09959971543082456,-0.0001388613014143812,0.0,-0.0,0.0,31,12,12,False
seed3__same_direction__fE1.00__t20__c02485,seed3__same_direction__fE1.00__t20,mcmc_swap,11|22|23|32|34|36|37|42|45|52|53|55|61|62|63|74|76|85|86|94,12|13|14|20|21|24|31|33|41|43|51|60,1.0,0.010554038577184708,-0.00014980090343530197,0.0,-0.0,0.0,46,12,12,False
seed3__same_direction__fE1.00__t20__c02486,seed3__same_direction__fE1.00__t20,spectral_resized,4|5|6|8|11|14|17|19|21|23|27|28|32|33|39|44|49|55|56|58,3|7|9|12|13|15|18|22|24|31|41|42,1.0,0.031351971221557036,0.0003954748254299161,0.0,-0.0,0.0,42,12,12,False
seed3__same_direction__fE1.00__t20__c02487,seed3__same_direction__fE1.00__t20,perturb_I0,38|47|48|49|56|57|59|65|66|67|68|76|77|86|88|89|96|97|98|99,27|28|29|36|37|39|45|46|54|55|58|87,1.0,0.012254447905617234,-0.0002959033361282103,0.0,-0.0,0.0,20,12,12,False
