candidate_id,snapshot_id,candidate_source,node_ids,boundary_ids,C_internal,G_internal,L_blanket,D_local,external_entropy,directional_contrast,structural_shell_size,boundary_budget,boundary_size,is_pareto
seed2__shell_only__fE1.00__t20__c00000,seed2__shell_only__fE1.00__t20,seed_reference_I0,7|8|9|16|17|18|19|26|27|28|29|36|37|38|39|47|48|49|58|59,5|6|15|25|35|45|46|56|57|67|68|69,1.0,0.125866462974551,0.0,0.3424949455666541,0.4978637260424628,0.1746043132720157,12,12,12,True
seed2__shell_only__fE1.00__t20__c00001,seed2__shell_only__fE1.00__t20,perturb_I0,6|7|9|14|15|16|17|19|25|26|28|36|37|38|39|48|58|59|67|69,3|4|5|8|13|18|24|27|29|35|47|49,1.0,0.02655535065503733,-0.00021956272791717277,0.6263832733354795,0.3481061300625729,0.3875702466506208,24,12,12,False
seed2__shell_only__fE1.00__t20__c00002,seed2__shell_only__fE1.00__t20,high_coherence,8|15|17|18|26|27|29|35|36|37|38|39|47|48|56|59|65|66|67|76,7|16|19|28|49|54|55|58|75|77|86|87,0.9,0.03307171845108793,-0.00028949624279750333,0.3163798366533982,0.4262025893247393,0.27007287616927367,30,12,12,False
seed2__shell_only__fE1.00__t20__c00003,seed2__shell_only__fE1.00__t20,high_coherence,0|1|4|10|11|13|20|21|22|23|31|32|33|34|40|41|42|44|45|53,3|5|12|14|15|24|25|30|35|43|54|55,0.95,0.006271849155918484,-2.6771717498205555e-05,0.22639126026195355,0.49875127318455764,0.14863573186277956,22,12,12,False
seed2__shell_only__fE1.00__t20__c00004,seed2__shell_only__fE1.00__t20,spectral_resized,5|6|7|8|9|15|16|17|18|19|25|26|34|35|37|44|52|53|54|61,23|24|27|28|29|38|43|45|47|48|55|65,0.7,0.06045778273753959,2.994142389904171e-05,0.11607046787165896,0.4432704464110449,0.13534865301016136,28,12,12,False
seed2__shell_only__fE1.00__t20__c00005,seed2__shell_only__fE1.00__t20,perturb_I0,7|8|9|16|17|18|19|25|27|28|36|37|38|48|49|56|57|58|59|67,5|6|14|24|29|34|35|39|45|46|47|55,1.0,0.08480836549679457,-0.0003540970359215384,0.5661236006735825,0.3935632931006345,0.35295707558123846,21,12,12,False
seed2__shell_only__fE1.00__t20__c00006,seed2__shell_only__fE1.00__t20,mcmc_swap,10|12|20|21|22|24|32|34|35|43|45|56|65|67|72|73|74|81|82|90,13|14|23|33|44|54|55|64|66|75|76|85,0.75,0.008219197618949325,2.2117807545981964e-05,0.10584334459644854,0.4772170014624825,0.12037169881735177,45,12,12,False
seed2__shell_only__fE1.00__t20__c00007,seed2__shell_only__fE1.00__t20,perturb_I0,6|7|8|9|15|16|17|18|24|29|36|37|38|39|47|48|49|56|58|69,13|14|19|25|26|27|28|33|34|35|46|59,1.0,0.04859242845417471,-0.00011075405239255043,0.5661236006735825,0.3935632931006345,0.35295707558123846,24,12,12,False
seed2__shell_only__fE1.00__t20__c00008,seed2__shell_only__fE1.00__t20,perturb_I0,7|8|9|16|17|19|25|26|27|28|37|38|39|47|48|49|58|59|67|69,6|14|15|18|24|29|34|35|36|46|56|66,1.0,0.05682704854991024,-0.00022794161790942128,0.5487949406953986,0.4056390622295664,0.341886116991581,19,12,12,False
seed2__shell_only__fE1.00__t20__c00009,seed2__shell_only__fE1.00__t20,spectral_resized,24|35|40|41|42|43|44|45|46|50|51|52|53|54|60|61|63|64|71|80,13|14|15|25|26|33|34|55|65|73|74|75,0.8,0.0014862711805960819,-7.714103108652504e-06,0.05688258884208293,0.4978637260424628,0.05278640450004207,28,12,12,False
seed2__shell_only__fE1.00__t20__c00010,seed2__shell_only__fE1.00__t20,region_growing,16|24|25|27|31|32|33|42|43|44|45|46|52|53|62|63|65|70|71|74,13|14|17|28|34|38|54|55|64|66|75|76,0.7,0.0007978719025764633,-0.0002306588539084795,0.01617962505306748,0.4955380299191111,0.018094439872901102,42,12,12,False
seed2__shell_only__fE1.00__t20__c00011,seed2__shell_only__fE1.00__t20,high_coherence,13|22|25|26|27|33|34|40|41|42|43|44|52|53|54|63|64|73|75|83,3|16|17|24|28|35|38|55|65|76|85|86,0.85,0.008699933717475376,-0.0001499399131446004,0.17803270403777796,0.4787767418573742,0.16909836778226878,39,12,12,False
seed2__shell_only__fE1.00__t20__c00012,seed2__shell_only__fE1.00__t20,region_growing,14|15|24|25|26|32|33|34|35|37|42|43|44|45|46|51|54|56|62|66,4|13|17|23|27|38|47|48|55|65|76|77,0.55,0.03089323636655599,7.889926920947011e-05,0.005307294439252071,0.4981582597794811,0.007290422206494229,36,12,12,False
seed2__shell_only__fE1.00__t20__c00013,seed2__shell_only__fE1.00__t20,high_coherence,6|8|9|16|17|18|19|25|26|27|29|35|36|38|44|46|48|57|66|67,7|28|34|37|39|49|54|55|59|65|76|77,0.95,0.042469076467546156,0.00017231483748488642,0.42211305366712415,0.4056390622295664,0.31717381378850323,26,12,12,False
seed2__shell_only__fE1.00__t20__c00014,seed2__shell_only__fE1.00__t20,high_coherence,6|7|8|9|14|15|17|18|19|24|26|28|29|35|38|39|47|49|56|57,4|5|13|16|25|27|34|36|37|48|58|59,1.0,0.10821015620384034,4.42020863943432e-06,0.5487949406953986,0.4056390622295664,0.341886116991581,23,12,12,False
seed2__shell_only__fE1.00__t20__c00015,seed2__shell_only__fE1.00__t20,perturb_I0,5|6|7|16|17|19|26|27|28|29|36|37|38|47|48|56|58|59|67|69,4|8|9|14|15|18|25|35|39|45|46|49,1.0,0.04059929873777092,-0.00022753641951709074,0.5297578726233217,0.41832037097058367,0.3291284684566478,21,12,12,False
seed2__shell_only__fE1.00__t20__c00016,seed2__shell_only__fE1.00__t20,region_growing,21|30|31|42|50|51|52|60|61|63|64|70|71|72|73|74|80|84|90|91,10|11|12|20|22|32|53|54|65|75|83|85,1.0,6.831388909200027e-05,-4.797576740619199e-06,0.17724328895614427,0.4480191162672787,0.04481676126869766,24,12,12,False
seed2__shell_only__fE1.00__t20__c00017,seed2__shell_only__fE1.00__t20,region_growing,0|1|2|3|10|11|12|13|14|15|16|22|23|24|25|26|33|34|35|36,4|5|7|17|27|32|37|42|43|44|45|46,0.6,0.024643323342577933,-4.0519839233053856e-07,0.00729915676047397,0.5,0.009709662154539944,17,12,12,False
seed2__shell_only__fE1.00__t20__c00018,seed2__shell_only__fE1.00__t20,region_growing,3|4|5|7|10|11|12|13|14|15|16|17|20|22|24|28|30|31|39|42,6|8|18|25|26|27|29|34|35|38|48|49,0.55,0.0592420248988073,-5.366988873100262e-05,0.001808652048905944,0.5,0.002481404895005479,27,12,12,False
seed2__shell_only__fE1.00__t20__c00019,seed2__shell_only__fE1.00__t20,mcmc_swap,7|15|18|24|26|27|33|37|44|47|53|62|63|73|74|75|77|84|86|96,14|17|28|29|34|38|55|65|76|85|87|88,0.55,0.028329723049689105,0.0033600228515589447,0.007868202714685815,0.46605578380833734,0.00955112323212004,51,12,12,False
seed2__shell_only__fE1.00__t20__c00020,seed2__shell_only__fE1.00__t20,spectral_resized,30|31|32|40|41|42|43|44|50|51|52|53|54|60|61|63|64|70|72|81,20|21|22|33|34|35|45|55|65|73|74|75,1.0,0.001424419837233188,0.0,0.2686664765895091,0.4955380299191111,0.10956559527848486,21,12,12,False
seed2__shell_only__fE1.00__t20__c00021,seed2__shell_only__fE1.00__t20,mcmc_swap,1|2|5|11|15|21|22|23|24|32|33|44|45|53|56|58|64|65|67|76,3|13|14|34|54|55|66|74|75|77|86|87,0.65,0.00357862227859104,4.562210792909199e-05,0.012266490244130596,0.49931798207928596,0.0152980782823956,42,12,12,False
seed2__shell_only__fE1.00__t20__c00022,seed2__shell_only__fE1.00__t20,high_coherence,5|14|16|24|25|26|27|28|31|33|35|36|37|42|44|45|48|49|58|59,4|7|13|17|18|29|34|38|39|47|54|55,0.8,0.018941776118512645,-0.00033638396552199254,0.16702580990126034,0.4591479170272447,0.1746043132720158,34,12,12,False
seed2__shell_only__fE1.00__t20__c00023,seed2__shell_only__fE1.00__t20,perturb_I0,7|8|9|17|18|19|26|27|29|36|37|38|39|47|48|49|58|59|68|77,6|15|16|25|28|35|46|66|76|78|87|88,1.0,0.07978593972164134,-0.00023408768989335702,0.38527213936327215,0.4887089087640858,0.2132688278183359,19,12,12,False
seed2__shell_only__fE1.00__t20__c00024,seed2__shell_only__fE1.00__t20,region_growing,13|24|33|35|43|44|45|46|53|55|56|57|61|62|63|65|71|73|74|84,3|14|15|25|34|54|64|66|75|76|83|85,0.7,0.008946213885162032,-7.171011393455675e-05,0.05697052928266656,0.49142934485635287,0.06939626865264037,39,12,12,False
