candidate_id,snapshot_id,candidate_source,node_ids,boundary_ids,C_internal,G_internal,L_blanket,D_local,external_entropy,directional_contrast,structural_shell_size,boundary_budget,boundary_size,is_pareto
seed4__no_control__fE1.00__t20__c00000,seed4__no_control__fE1.00__t20,seed_reference_I0,67|74|75|76|77|78|79|83|84|85|86|87|88|89|94|95|96|97|98|99,56|57|58|64|65|66|68|69|73|82|92|93,0.8,0.13001092520162444,7.75740229648908e-06,0.6754887502163468,0.4854752972273344,0.9160251471689218,14,12,12,False
seed4__no_control__fE1.00__t20__c00001,seed4__no_control__fE1.00__t20,region_growing,17|27|36|44|45|47|53|56|64|65|74|76|77|84|85|86|94|95|97|98,34|35|46|54|55|57|66|67|73|75|83|96,0.45,0.06605874135644504,0.004537360436597664,0.1526828310649097,0.6323363396978611,0.5299461453639733,37,12,12,False
seed4__no_control__fE1.00__t20__c00002,seed4__no_control__fE1.00__t20,region_growing,1|2|3|4|5|6|10|11|14|20|22|24|31|33|40|41|43|44|51|55,13|15|16|25|34|35|45|54|56|64|65|66,0.9,0.03246686307934502,-3.7514580509222676e-05,0.2572146611174456,0.7309190996284373,0.24771599035261543,28,12,12,False
seed4__no_control__fE1.00__t20__c00003,seed4__no_control__fE1.00__t20,region_growing,40|42|43|51|52|54|60|62|63|70|71|72|73|74|82|83|84|85|93|94,44|55|64|65|75|76|80|81|86|91|92|95,0.9,0.056025042165583114,1.515044324668913e-05,0.2253371059846048,0.7730898459737487,0.27639320225002106,23,12,12,False
seed4__no_control__fE1.00__t20__c00004,seed4__no_control__fE1.00__t20,region_growing,1|2|3|10|12|13|14|20|21|23|24|30|31|32|33|34|35|42|44|51,0|4|5|11|15|22|25|40|45|46|54|55,1.0,0.021576099009005912,-0.0001019399037891791,0.418821231072075,0.7028195311147832,0.27639320225002106,22,12,12,False
seed4__no_control__fE1.00__t20__c00005,seed4__no_control__fE1.00__t20,region_growing,34|35|36|37|38|43|44|46|47|48|49|56|58|59|67|68|76|77|86|87,24|25|45|54|55|57|65|66|69|75|85|96,0.45,0.05335631155169648,0.001169684780757687,0.17776735782220215,0.6079374812211203,0.5,29,12,12,False
seed4__no_control__fE1.00__t20__c00006,seed4__no_control__fE1.00__t20,region_growing,1|10|11|12|20|21|22|23|24|25|26|30|32|41|50|52|53|54|61|70,14|15|34|35|36|44|55|63|64|65|71|80,0.9,0.000405468584191619,0.0003297835413322803,0.2184955213010562,0.6710096089097604,0.18662067759174672,31,12,12,False
seed4__no_control__fE1.00__t20__c00007,seed4__no_control__fE1.00__t20,region_growing,23|25|27|30|31|33|34|36|40|41|42|43|45|46|52|54|56|57|65|67,15|24|35|44|55|58|63|66|68|74|75|77,0.55,0.027579231704539565,0.0009543876132684821,0.03707708441510511,0.782798115178801,0.06840619843529783,36,12,12,False
seed4__no_control__fE1.00__t20__c00008,seed4__no_control__fE1.00__t20,region_growing,4|6|7|8|15|16|17|18|19|25|27|28|35|36|38|39|46|48|55|56,5|14|24|44|45|47|54|57|64|65|66|67,0.8,0.03632847183784673,0.0008778863041973728,0.6583921172438991,0.4480191162672787,0.3787321874818335,22,12,12,False
seed4__no_control__fE1.00__t20__c00009,seed4__no_control__fE1.00__t20,region_growing,37|38|47|58|65|66|67|68|75|76|78|79|86|87|88|89|96|97|98|99,54|55|56|57|59|64|69|74|77|84|85|95,0.8,0.06562107176726042,0.00031895409284390263,0.6448613780756901,0.4772170014624825,0.8699700366979719,21,12,12,False
seed4__no_control__fE1.00__t20__c00010,seed4__no_control__fE1.00__t20,region_growing,16|18|27|37|38|39|47|48|56|57|58|59|67|69|76|78|79|86|87|88,6|45|46|55|65|66|68|75|77|85|95|96,0.55,0.04331154809572098,0.0002529668503999615,0.8233217123908712,0.21974849346075667,0.8166188951286313,29,12,12,False
seed4__no_control__fE1.00__t20__c00011,seed4__no_control__fE1.00__t20,region_growing,8|18|24|28|35|36|37|38|46|47|48|55|56|58|59|65|69|74|78|83,14|25|34|45|54|57|64|66|68|75|77|93,0.55,0.044910668002486595,0.006457162290378434,0.1660823068640453,0.6493974703476993,0.29959058299014607,40,12,12,False
seed4__no_control__fE1.00__t20__c00012,seed4__no_control__fE1.00__t20,region_growing,23|31|32|33|34|40|42|43|50|51|52|60|61|71|72|73|81|90|92|93,24|35|44|45|63|74|80|82|83|84|91|94,1.0,0.006126608449169937,-0.0007662282347980354,0.31127812445913283,0.7295739585136225,0.14644660940672627,26,12,12,False
seed4__no_control__fE1.00__t20__c00013,seed4__no_control__fE1.00__t20,region_growing,1|7|10|15|16|20|21|22|23|24|25|27|31|32|33|34|35|38|43|45,5|6|13|14|17|26|36|44|46|54|55|56,0.7,0.048554908909849814,-1.4878838080366037e-05,0.1509864317635274,0.765062482657485,0.0666887715629157,32,12,12,False
seed4__no_control__fE1.00__t20__c00014,seed4__no_control__fE1.00__t20,region_growing,25|34|44|52|53|54|55|60|61|63|65|71|73|74|81|82|83|85|92|93,15|24|35|45|64|66|72|75|84|90|91|95,0.85,0.06577289558972958,0.0016705345821165286,0.1652831618843573,0.7549843063184085,0.2073834579384174,32,12,12,False
seed4__no_control__fE1.00__t20__c00015,seed4__no_control__fE1.00__t20,region_growing,14|16|18|19|23|24|27|29|35|36|37|38|39|46|47|48|49|54|55|64,4|25|34|44|45|56|57|63|65|66|73|74,0.65,0.020879815530124073,0.0022776223034769926,0.5490102926907244,0.4854752972273344,0.2629500884824913,32,12,12,False
seed4__no_control__fE1.00__t20__c00016,seed4__no_control__fE1.00__t20,region_growing,23|24|30|31|32|33|40|41|42|43|45|50|51|52|54|55|61|62|71|72,14|34|35|44|46|56|63|64|65|66|81|82,0.95,0.01015164846807235,0.0006488688295963232,0.20533589694998466,0.7198137681706784,0.10935277020768663,26,12,12,False
seed4__no_control__fE1.00__t20__c00017,seed4__no_control__fE1.00__t20,region_growing,47|55|57|58|59|64|65|66|67|68|69|76|77|79|86|87|88|89|97|98,44|45|46|54|56|73|74|75|78|85|95|96,0.75,0.1328312039037069,0.0003828411658607478,0.4299169476898053,0.597086867128456,0.8599221477103425,20,12,12,False
seed4__no_control__fE1.00__t20__c00018,seed4__no_control__fE1.00__t20,region_growing,43|50|52|54|55|61|62|63|64|65|70|71|72|73|74|75|81|82|91|92,44|45|51|53|56|66|80|83|84|85|90|93,0.95,0.06538809040354199,-0.00044457785467450574,0.28476201718556143,0.778715980964852,0.31430466182294814,22,12,12,False
seed4__no_control__fE1.00__t20__c00019,seed4__no_control__fE1.00__t20,region_growing,60|61|72|74|75|80|81|82|84|85|88|89|91|93|94|95|96|97|98|99,63|64|65|66|71|73|76|83|86|87|90|92,0.55,0.06841389247321113,2.3569739029883836e-05,0.10458690052261019,0.6922157521702991,0.05278640450004207,20,12,12,False
seed4__no_control__fE1.00__t20__c00020,seed4__no_control__fE1.00__t20,region_growing,0|1|2|3|6|10|11|14|15|16|20|23|24|25|27|28|32|34|37|43,4|5|7|13|17|18|26|33|35|36|44|45,0.7,0.03280492655652388,-1.1618860398974714e-05,0.07759057581390832,0.7028195311147832,0.03576165455737035,29,12,12,False
seed4__no_control__fE1.00__t20__c00021,seed4__no_control__fE1.00__t20,region_growing,1|4|11|13|20|21|22|24|30|31|32|34|40|41|42|43|50|52|62|72,3|5|14|15|25|35|44|45|63|71|81|82,1.0,0.005360133061951622,-3.078351045278527e-05,0.2686664765895091,0.6758220575766961,0.10000000000000003,25,12,12,False
seed4__no_control__fE1.00__t20__c00022,seed4__no_control__fE1.00__t20,region_growing,8|9|16|18|19|27|28|29|36|37|38|39|47|48|49|58|59|67|69|78,6|25|26|35|46|56|57|66|68|76|77|79,0.8,0.015095196712482736,0.00022042068619349152,0.7062363669231024,0.49839581599081834,0.6212678125181664,20,12,12,False
seed4__no_control__fE1.00__t20__c00023,seed4__no_control__fE1.00__t20,region_growing,0|4|11|15|20|23|25|26|31|32|33|35|36|37|43|44|46|48|55|59,5|14|24|34|45|54|56|57|58|64|65|66,0.65,0.03149923101168268,0.0012393634790692503,0.15589981462682206,0.7733158076968889,0.07023205598966936,37,12,12,False
seed4__no_control__fE1.00__t20__c00024,seed4__no_control__fE1.00__t20,region_growing,20|22|31|40|41|42|51|60|63|70|71|72|74|80|81|83|85|90|92|94,54|64|65|73|75|76|82|84|86|91|93|95,0.95,0.020096188082089052,1.6654561024379097e-05,0.1589753313991211,0.6664102022925098,0.03576165455737046,28,12,12,False
seed4__no_control__fE1.00__t20__c00025,seed4__no_control__fE1.00__t20,region_growing,10|11|12|20|21|30|31|32|40|41|51|53|60|61|62|64|71|72|80|90,42|43|52|55|63|65|70|73|74|81|82|91,1.0,0.003394534505964953,-9.572009749917133e-05,0.31127812445913283,0.7386085007312413,0.1464466094067262,25,12,12,False
seed4__no_control__fE1.00__t20__c00026,seed4__no_control__fE1.00__t20,region_growing,0|1|2|3|6|10|11|14|15|20|21|22|30|31|40|42|50|52|61|62,4|5|7|13|16|17|24|25|51|53|63|72,0.95,0.000534630981245874,-1.0290612705581839e-05,0.1528628745185563,0.6105238925898591,0.0699726730631503,23,12,12,False
seed4__no_control__fE1.00__t20__c00027,seed4__no_control__fE1.00__t20,region_growing,0|1|2|3|4|5|10|12|13|16|20|21|22|23|30|32|34|36|37|45,6|14|15|24|25|26|35|44|46|54|55|56,0.75,0.005164950976855943,5.73126477574782e-05,0.19032980972295194,0.7652465283787413,0.2315622539034204,26,12,12,False
seed4__no_control__fE1.00__t20__c00028,seed4__no_control__fE1.00__t20,region_growing,1|2|3|4|10|11|12|14|20|21|22|23|24|30|31|33|41|52|60|61,0|5|13|15|25|34|35|40|42|43|44|50,1.0,0.027877160480243558,-2.376404998650529e-06,0.23645279766002797,0.4854752972273344,0.0839748528310782,20,12,12,False
seed4__no_control__fE1.00__t20__c00029,seed4__no_control__fE1.00__t20,region_growing,1|2|3|10|11|12|13|14|15|20|21|23|24|31|32|33|40|41|43|51,0|4|5|16|22|25|30|34|35|42|44|50,1.0,0.010714685298828634,-4.855564772786314e-06,0.33824492595034883,0.6433463341773773,0.17460431327201575,20,12,12,False
seed4__no_control__fE1.00__t20__c00030,seed4__no_control__fE1.00__t20,region_growing,44|48|55|57|58|59|66|67|68|74|76|78|79|83|85|86|89|93|95|99,34|45|54|56|64|65|69|75|77|84|92|96,0.6,0.09642706989857222,0.0025282507020255272,0.39603263752629986,0.46833369093878124,0.8091421286391403,31,12,12,False
seed4__no_control__fE1.00__t20__c00031,seed4__no_control__fE1.00__t20,region_growing,2|3|4|5|10|11|12|13|14|15|21|22|24|30|31|33|34|40|42|52,0|1|6|16|20|23|25|32|35|43|44|45,0.95,0.06685099303835154,-1.1914825830697252e-06,0.16367279814855046,0.4943497041442487,0.08973539992591595,20,12,12,False
seed4__no_control__fE1.00__t20__c00032,seed4__no_control__fE1.00__t20,region_growing,3|4|14|24|35|45|46|54|56|66|77|78|79|85|87|94|95|96|97|98,25|34|44|55|57|65|67|68|75|76|84|86,0.5,0.0829657305479293,0.005702589377283646,0.21395714711877936,0.6004551397547642,0.5779812867365055,34,12,12,False
seed4__no_control__fE1.00__t20__c00033,seed4__no_control__fE1.00__t20,region_growing,0|1|3|6|11|12|13|15|16|21|22|24|30|32|33|35|44|45|56|57,5|14|25|34|46|54|55|58|65|66|67|68,0.75,0.021168395486153423,7.854549607887462e-05,0.17316210818785185,0.7768815572361227,0.18540088566601776,30,12,12,False
seed4__no_control__fE1.00__t20__c00034,seed4__no_control__fE1.00__t20,region_growing,21|30|32|42|43|45|51|52|53|54|60|62|70|71|81|82|83|90|92|93,34|35|44|46|55|63|65|72|74|80|84|91,0.95,0.029675389863057733,0.0012335165934398485,0.28476201718556143,0.778715980964852,0.25319724027080903,29,12,12,False
