candidate_id,snapshot_id,candidate_source,node_ids,boundary_ids,C_internal,G_internal,L_blanket,D_local,external_entropy,directional_contrast,structural_shell_size,boundary_budget,boundary_size,is_pareto
seed2__same_direction__fE1.00__t20__c00000,seed2__same_direction__fE1.00__t20,seed_reference_I0,7|8|9|16|17|18|19|26|27|28|29|36|37|38|39|47|48|49|58|59,5|6|15|25|35|45|46|56|57|67|68|69,1.0,0.1183288522742905,0.0,0.0,-0.0,0.0,12,12,12,False
seed2__same_direction__fE1.00__t20__c00001,seed2__same_direction__fE1.00__t20,region_growing,2|3|4|5|11|12|14|20|21|25|30|31|32|33|34|41|42|44|45|55,0|6|10|13|15|16|22|23|24|26|35|43,0.55,0.002937740418599847,-0.00018497937270925413,0.009150355376423619,0.4943497041442487,0.012494263513353476,25,12,12,False
seed2__same_direction__fE1.00__t20__c00002,seed2__same_direction__fE1.00__t20,region_growing,0|1|2|3|10|11|12|13|14|21|22|25|26|30|31|33|34|43|44|54,4|5|15|16|17|20|23|24|27|42|52|53,0.65,0.04175276246272364,-1.2310269194075463e-05,0.04568655412773023,0.4854752972273344,0.05856380540036016,23,12,12,False
seed2__same_direction__fE1.00__t20__c00003,seed2__same_direction__fE1.00__t20,mcmc_swap,9|15|18|25|27|36|37|40|41|42|46|51|53|54|55|57|61|64|73|83,7|8|17|19|28|29|38|43|48|63|74|75,0.6,0.0037774882325177935,2.228584898676146e-05,0.00729915676047397,0.5,0.009709662154539944,46,12,12,False
seed2__same_direction__fE1.00__t20__c00004,seed2__same_direction__fE1.00__t20,region_growing,3|4|7|12|13|15|16|22|24|25|26|27|33|35|44|46|53|54|62|72,2|8|14|17|18|23|28|37|38|43|63|64,0.65,0.023956797678536118,-0.00039703085174523677,0.05356943469717874,0.4787767418573742,0.06816878514412045,36,12,12,False
seed2__same_direction__fE1.00__t20__c00005,seed2__same_direction__fE1.00__t20,mcmc_swap,4|14|15|17|21|23|26|31|32|34|35|44|55|56|66|67|76|77|88|89,6|7|8|13|16|18|24|27|28|33|41|42,0.8,6.919532940359674e-05,-4.272142701753851e-05,0.12965504638652364,0.48281806668530486,0.13568616554899643,44,12,12,False
seed2__same_direction__fE1.00__t20__c00006,seed2__same_direction__fE1.00__t20,mcmc_swap,24|29|35|38|39|45|46|47|54|58|64|65|68|69|74|78|83|84|94|95,18|19|27|28|37|49|53|63|73|75|85|96,0.75,0.03738949999597631,0.0001655140886457001,0.041101390270284914,0.49931798207928596,0.043495644692085944,41,12,12,False
seed2__same_direction__fE1.00__t20__c00007,seed2__same_direction__fE1.00__t20,region_growing,4|15|21|22|25|26|32|33|35|42|44|51|53|54|56|62|63|64|65|71,3|5|23|24|31|34|41|43|55|73|74|75,0.5,0.00495753412581061,-0.0001474459974937746,0.0014939931791539802,0.4970151057384783,0.002053396766148019,42,12,12,False
seed2__same_direction__fE1.00__t20__c00008,seed2__same_direction__fE1.00__t20,region_growing,67|70|75|76|77|78|79|81|82|83|86|87|88|90|91|93|94|95|96|99,56|57|58|60|61|64|65|66|74|84|85|97,0.55,0.006277146601796982,0.0,0.010667448630715743,0.49261406801712576,0.014517694136098602,21,12,12,False
seed2__same_direction__fE1.00__t20__c00009,seed2__same_direction__fE1.00__t20,mcmc_swap,6|7|16|18|26|27|28|37|38|48|49|58|59|66|67|68|76|79|86|89,8|17|19|29|39|47|57|75|85|95|96|97,1.0,0.014570028791531598,4.954273044655011e-06,0.15196022952646124,0.4226754683112182,0.03183541121547773,29,12,12,False
