candidate_id,snapshot_id,candidate_source,node_ids,boundary_ids,C_internal,G_internal,L_blanket,D_local,external_entropy,directional_contrast,structural_shell_size,boundary_budget,boundary_size,is_pareto
seed3__opposite__fE1.00__t20__c00000,seed3__opposite__fE1.00__t20,seed_reference_I0,47|48|49|57|58|59|66|67|68|69|76|77|86|87|88|89|96|97|98|99,36|37|38|39|46|55|65|75|78|79|85|95,1.0,0.01825727020296397,0.0,1.0,-0.0,1.0,13,12,12,False
seed3__opposite__fE1.00__t20__c00001,seed3__opposite__fE1.00__t20,region_growing,5|6|9|13|14|15|17|18|19|25|27|28|29|34|36|38|39|46|47|55,2|3|4|7|8|12|16|22|23|24|26|33,0.7,0.0,0.0,0.006323536150860858,0.4820393824041145,0.0,26,12,12,False
seed3__opposite__fE1.00__t20__c00002,seed3__opposite__fE1.00__t20,high_coherence,17|26|36|38|39|46|47|48|49|55|56|57|58|59|65|66|67|68|75|77,6|7|8|15|16|18|25|27|28|29|35|37,0.9,0.0,0.0,0.30891776722997455,0.43156028428331555,1.0,26,12,12,False
seed3__opposite__fE1.00__t20__c00003,seed3__opposite__fE1.00__t20,mcmc_swap,32|40|42|43|44|51|55|56|59|65|67|69|72|75|78|83|84|86|87|94,21|22|23|30|31|33|34|35|76|77|85|95,0.5,0.0002078812198603737,-0.00018310397706508243,0.037876175483489746,0.4262025893247393,0.5,44,12,12,False
seed3__opposite__fE1.00__t20__c00004,seed3__opposite__fE1.00__t20,perturb_I0,47|48|49|56|57|58|59|66|67|69|76|77|86|87|88|89|96|97|98|99,36|37|38|39|45|65|68|75|78|79|85|95,1.0,0.01825727020296397,0.0,1.0,-0.0,1.0,14,12,12,False
seed3__opposite__fE1.00__t20__c00005,seed3__opposite__fE1.00__t20,mcmc_swap,22|32|34|41|45|50|54|58|61|62|65|66|67|69|73|76|84|86|94|95,11|12|13|21|23|24|25|75|77|85|87|97,0.6,6.519592178929495e-06,-8.136385219230402e-06,0.013145608654176256,0.4226754683112182,0.0,46,12,12,False
seed3__opposite__fE1.00__t20__c00006,seed3__opposite__fE1.00__t20,perturb_I0,38|48|49|56|57|58|59|66|67|68|69|75|76|77|86|88|89|96|97|99,27|28|29|37|39|45|78|79|85|87|95|98,1.0,0.007448193802268396,0.0,0.8285353655857571,0.16864503330850694,1.0,19,12,12,False
seed3__opposite__fE1.00__t20__c00007,seed3__opposite__fE1.00__t20,mcmc_swap,12|22|26|30|31|35|40|41|43|44|46|52|56|61|66|67|75|84|86|97,1|2|3|11|13|76|77|85|87|88|95|96,0.65,8.27693939185344e-06,-3.4882979124260806e-06,0.00014612376975737826,0.47283015230032005,0.0,52,12,12,False
seed3__opposite__fE1.00__t20__c00008,seed3__opposite__fE1.00__t20,mcmc_swap,37|38|40|45|46|47|50|51|52|54|56|61|63|66|67|70|74|81|83|91,26|27|28|29|30|31|34|71|80|82|90|92,0.65,0.0035370610141502784,-8.294960699688213e-06,0.0026760064588647685,0.4880103241183075,0.0,40,12,12,False
seed3__opposite__fE1.00__t20__c00009,seed3__opposite__fE1.00__t20,perturb_I0,46|48|49|57|58|59|66|67|76|79|84|85|86|87|89|93|96|97|98|99,35|36|37|38|39|75|77|78|82|88|92|95,0.9,0.006417540897847801,-2.925143265408974e-05,0.7582766571931676,-0.0,1.0,23,12,12,False
