B,n,p,q,r,L_pop,beta,R_outer,n_eff,M_boot,elapsed_sec,coverage_basic,coverage_basic_wilson_lo,coverage_basic_wilson_hi,coverage_percentile,coverage_percentile_wilson_lo,coverage_percentile_wilson_hi,coverage_bc,coverage_bc_wilson_lo,coverage_bc_wilson_hi,coverage_oracle,coverage_oracle_wilson_lo,coverage_oracle_wilson_hi
(),1000,3,5,0,0.1980155379374029,0.007541496557189831,5000,5000,1000,49.47975945472717,0.9354,0.9282465394943835,0.9418849456518608,0.9774,0.9728992185701278,0.9811677796127317,0.886,0.8768929474147925,0.8945143866836235,0.943,0.9362271473719421,0.9490926687047372
(),5000,3,5,0,0.1980155379374029,0.0015016519624762026,5000,5000,1000,50.93390679359436,0.9418,0.9349650691832874,0.9479565893780602,0.9628,0.9571890088775437,0.9677004062021115,0.925,0.9173685383306712,0.9319789150160304,0.9518,0.9455084082601064,0.95739789626234
"(4,)",200,3,4,1,0.0422786940140325,0.030929204778635366,5000,5000,1000,53.00848460197449,0.9466,0.940018259336372,0.9524960292863032,1.0,0.9992322980549431,1.0000000000000002,0.6596,0.6463479099664398,0.672607039572698,0.9548,0.9486842567086267,0.9602174416021494
"(4,)",1000,3,4,1,0.0422786940140325,0.006036227486043266,5000,5000,1000,51.400989294052124,0.9374,0.9303439051736698,0.9437845091647944,0.9902,0.9870684281708895,0.9925789168421766,0.8328,0.8222022030426668,0.8428868145427033,0.9544,0.9482604246805078,0.9598418877918244
"(4,)",5000,3,4,1,0.0422786940140325,0.001201441810364301,5000,5000,1000,55.57728028297424,0.9412,0.9343343215790255,0.9473882582246563,0.9724,0.9674837353935126,0.9765909398087975,0.9122,0.9040358607404276,0.9197312457760675,0.9512,0.9448740139966793,0.9568332117681014
"(4, 5)",200,3,3,2,8.881784197001252e-16,0.023256486862692327,5000,5000,1000,59.57682800292969,0.9908,0.9877511623189796,0.9930952614517523,1.0,0.9992322980549431,1.0000000000000002,0.546,0.5321696766113067,0.5597596948097481,0.9518,0.9455084082601064,0.95739789626234
"(4, 5)",1000,3,3,2,8.881784197001252e-16,0.004529446340225007,5000,5000,1000,62.57218599319458,0.9914,0.9884366781599928,0.993608824368405,1.0,0.9992322980549431,1.0000000000000002,0.549,0.5351752999197067,0.5627494652896777,0.956,0.9499564961638414,0.9613433596622665
