q,k,group,h_at_t0,h_max_abs,t_of_max_abs
-2,1,interior,0.3333333333333333,0.3333333333333333,0.0
-2,2,interior,0.3333333333333333,0.3333333333333333,0.0
-2,3,interior,0.3333333333333333,0.3333333333333333,0.0
-2,4,blanket,0.0,0.11386574242638252,0.32160804020100503
-2,5,blanket,0.0,0.081879073618164,0.3869346733668342
-2,6,exterior,0.0,0.20198622939599967,0.1457286432160804
-2,7,exterior,0.0,0.050526040103424125,0.5367892976588629
-2,8,exterior,0.0,0.05052604010342411,0.5367892976588629
-1,1,interior,0.3333333333333333,0.3333333333333333,0.0
-1,2,interior,0.3333333333333333,0.3333333333333333,0.0
-1,3,interior,0.3333333333333333,0.3333333333333333,0.0
-1,4,blanket,0.0,0.08911548819923165,0.37185929648241206
-1,5,blanket,0.0,0.06846016645711395,0.48743718592964824
-1,6,exterior,0.0,0.14352483890229079,0.24371859296482412
-1,7,exterior,0.0,0.04354498308940263,0.8127090301003345
-1,8,exterior,0.0,0.043544983089402675,0.8127090301003345
-0.5,1,interior,0.3333333333333333,0.3333333333333333,0.0
-0.5,2,interior,0.3333333333333333,0.3333333333333333,0.0
-0.5,3,interior,0.3333333333333333,0.3333333333333333,0.0
-0.5,4,blanket,0.0,0.082787889959497,0.32160804020100503
-0.5,5,blanket,0.0,0.06316973290055686,0.4623115577889447
-0.5,6,exterior,0.0,0.09449869349348622,0.36683417085427134
-0.5,7,exterior,0.0,0.036912629844173706,0.8862876254180603
-0.5,8,exterior,0.0,0.03691262984417371,0.8862876254180603
0,1,interior,0.3333333333333333,0.3333333333333333,0.0
0,2,interior,0.3333333333333333,0.3333333333333333,0.0
0,3,interior,0.3333333333333333,0.3333333333333333,0.0
0,4,blanket,0.0,0.08716814034771951,0.2763819095477387
0,5,blanket,0.0,0.0648380643935431,0.40703517587939697
0,6,exterior,0.0,0.034057622111514044,0.7759197324414716
0,7,exterior,0.0,0.03405762211151406,0.7759197324414716
0,8,exterior,0.0,0.03405762211151406,0.7759197324414716
0.5,1,interior,0.3333333333333333,0.3333333333333333,0.0
0.5,2,interior,0.3333333333333333,0.3333333333333333,0.0
0.5,3,interior,0.3333333333333333,0.3333333333333333,0.0
0.5,4,blanket,0.0,0.09864694095293378,0.25879396984924624
0.5,5,blanket,0.0,0.07213860969075563,0.37185929648241206
0.5,6,exterior,0.0,0.05860292223004923,0.21105527638190955
0.5,7,exterior,0.0,0.037048045845640185,0.5735785953177257
0.5,8,exterior,0.0,0.0370480458456402,0.5735785953177257
1,1,interior,0.3333333333333333,0.3333333333333333,0.0
1,2,interior,0.3333333333333333,0.3333333333333333,0.0
1,3,interior,0.3333333333333333,0.3333333333333333,0.0
1,4,blanket,0.0,0.112398583645093,0.23869346733668342
1,5,blanket,0.0,0.08044535851748846,0.3316582914572864
1,6,exterior,0.0,0.11764341754003131,0.1984924623115578
1,7,exterior,0.0,0.04046802132397266,0.3542713567839196
1,8,exterior,0.0,0.04046802132397266,0.3542713567839196
2,1,interior,0.3333333333333333,0.3333333333333333,0.0
2,2,interior,0.3333333333333333,0.3333333333333333,0.0
2,3,interior,0.3333333333333333,0.3333333333333333,0.0
2,4,blanket,0.0,0.13512212929865197,0.1884422110552764
2,5,blanket,0.0,0.09081333389740404,0.24120603015075376
2,6,exterior,0.0,0.18877127890581577,0.13819095477386936
2,7,exterior,0.0,0.04716609724582289,0.16331658291457288
2,8,exterior,0.0,0.04716609724582289,0.16331658291457288
