q,hprime4,hprime5,hprime6,hprime7,hprime8
-2,0.3333333333333333,0.16666666666666666,3.0,-0.6666666666666666,-0.6666666666666666
-1,0.6666666666666666,0.3333333333333333,1.5,-0.3333333333333333,-0.3333333333333333
-0.5,0.8333333333333333,0.41666666666666663,0.75,-0.16666666666666666,-0.16666666666666666
0.5,1.1666666666666665,0.5833333333333333,-0.75,0.16666666666666666,0.16666666666666666
1,1.3333333333333333,0.6666666666666666,-1.5,0.3333333333333333,0.3333333333333333
2,1.6666666666666665,0.8333333333333333,-3.0,0.6666666666666666,0.6666666666666666
