q,lyapunov_residual,L_blanket
-2,8.881784197001252e-16,8.881784197001252e-16
-1,8.881784197001252e-16,8.881784197001252e-16
-0.5,8.881784197001252e-16,8.881784197001252e-16
0,8.881784197001252e-16,8.881784197001252e-16
0.5,8.881784197001252e-16,8.881784197001252e-16
1,8.881784197001252e-16,8.881784197001252e-16
2,8.881784197001252e-16,8.881784197001252e-16
