q,g1,g2,g3,g4,g5,g6,g7,g8
-2.0,0.19812206572769955,0.19812206572769955,0.013708920187793423,0.11267605633802819,0.09859154929577466,0.09220657276995306,0.06478873239436621,0.06478873239436621
-1.975,0.19812206572769953,0.19812206572769955,0.014317422624425714,0.11267605633802817,0.09859154929577466,0.09306564207760698,0.0647887323943662,0.0647887323943662
-1.95,0.19812206572769953,0.19812206572769953,0.014947222812844444,0.11267605633802817,0.09859154929577466,0.09393581687941288,0.06478873239436621,0.06478873239436621
-1.925,0.19812206572769955,0.19812206572769955,0.015599151200647018,0.11267605633802817,0.09859154929577466,0.09481709845561172,0.06478873239436621,0.06478873239436621
-1.9,0.19812206572769955,0.19812206572769955,0.016274072489892356,0.11267605633802819,0.09859154929577466,0.09570947012516169,0.06478873239436622,0.06478873239436622
-1.875,0.19812206572769953,0.19812206572769953,0.016972886917816017,0.11267605633802817,0.09859154929577466,0.09661289536527122,0.0647887323943662,0.0647887323943662
-1.85,0.1981220657276995,0.1981220657276995,0.01769653155412596,0.11267605633802817,0.09859154929577466,0.09752731576949919,0.0647887323943662,0.0647887323943662
-1.825,0.19812206572769953,0.19812206572769955,0.018445981609578572,0.11267605633802816,0.09859154929577466,0.09845264883184712,0.0647887323943662,0.0647887323943662
-1.8,0.19812206572769953,0.19812206572769955,0.01922225174949066,0.11267605633802817,0.09859154929577461,0.09938878554344936,0.0647887323943662,0.0647887323943662
-1.775,0.19812206572769955,0.19812206572769955,0.020026397404655817,0.11267605633802819,0.09859154929577466,0.10033558778763027,0.06478873239436621,0.06478873239436621
-1.75,0.19812206572769953,0.19812206572769955,0.02085951607078368,0.11267605633802817,0.09859154929577466,0.10129288551823762,0.0647887323943662,0.0647887323943662
-1.725,0.19812206572769955,0.19812206572769955,0.021722748586050698,0.11267605633802817,0.09859154929577466,0.10226047370530367,0.06478873239436621,0.06478873239436621
-1.7,0.19812206572769955,0.19812206572769955,0.02261728037462135,0.11267605633802821,0.09859154929577466,0.10323810903122249,0.06478873239436621,0.06478873239436621
-1.675,0.19812206572769953,0.19812206572769955,0.023544342642045968,0.11267605633802819,0.09859154929577463,0.10422550631979317,0.06478873239436621,0.06478873239436621
-1.65,0.19812206572769955,0.19812206572769955,0.024505213506244544,0.11267605633802817,0.09859154929577466,0.10522233467966968,0.0647887323943662,0.0647887323943662
-1.625,0.19812206572769955,0.19812206572769955,0.025501219045316253,0.11267605633802821,0.09859154929577468,0.10622821334300508,0.06478873239436621,0.06478873239436621
-1.6,0.19812206572769953,0.19812206572769953,0.02653373424064988,0.11267605633802813,0.09859154929577461,0.10724270717940601,0.06478873239436617,0.06478873239436617
-1.575,0.19812206572769955,0.19812206572769955,0.027604183790719425,0.11267605633802817,0.09859154929577468,0.10826532186474931,0.06478873239436621,0.06478873239436621
-1.55,0.19812206572769953,0.19812206572769953,0.028714042767503875,0.11267605633802816,0.09859154929577466,0.10929549868399718,0.06478873239436621,0.06478873239436621
-1.525,0.19812206572769953,0.19812206572769955,0.02986483708364325,0.11267605633802817,0.09859154929577466,0.11033260894692215,0.0647887323943662,0.06478873239436618
-1.5,0.19812206572769953,0.19812206572769955,0.031058143734200065,0.11267605633802813,0.09859154929577466,0.1113759479956663,0.0647887323943662,0.06478873239436617
-1.475,0.19812206572769953,0.19812206572769955,0.03229559077221317,0.11267605633802817,0.09859154929577463,0.11242472878338061,0.0647887323943662,0.06478873239436618
-1.45,0.19812206572769955,0.19812206572769955,0.03357885697207688,0.11267605633802817,0.09859154929577466,0.11347807500387769,0.06478873239436621,0.06478873239436621
-1.4249999999999998,0.19812206572769953,0.19812206572769953,0.03490967112913268,0.11267605633802813,0.09859154929577463,0.11453501375338027,0.06478873239436621,0.06478873239436621
-1.4,0.1981220657276995,0.19812206572769955,0.036289810937698265,0.11267605633802819,0.09859154929577466,0.11559446770714377,0.06478873239436622,0.06478873239436622
-1.375,0.19812206572769953,0.19812206572769955,0.03772110138307324,0.11267605633802817,0.09859154929577466,0.11665524679609185,0.06478873239436618,0.06478873239436617
-1.35,0.19812206572769953,0.19812206572769953,0.03920541257583887,0.11267605633802813,0.09859154929577466,0.11771603937174864,0.06478873239436617,0.06478873239436617
-1.325,0.19812206572769953,0.19812206572769955,0.04074465694902768,0.11267605633802819,0.09859154929577466,0.11877540285182786,0.06478873239436621,0.06478873239436621
-1.2999999999999998,0.19812206572769955,0.19812206572769955,0.042340785730492006,0.11267605633802816,0.09859154929577461,0.11983175384400582,0.06478873239436621,0.06478873239436621
-1.275,0.1981220657276995,0.19812206572769953,0.04399578459409957,0.11267605633802817,0.09859154929577466,0.12088335775184317,0.0647887323943662,0.0647887323943662
-1.25,0.19812206572769955,0.19812206572769955,0.0457116683842895,0.11267605633802813,0.09859154929577466,0.12192831787472803,0.06478873239436622,0.06478873239436622
-1.225,0.19812206572769955,0.19812206572769953,0.0474904747991406,0.11267605633802816,0.09859154929577466,0.12296456402331343,0.0647887323943662,0.0647887323943662
-1.2,0.19812206572769955,0.19812206572769955,0.04933425690756562,0.11267605633802819,0.09859154929577468,0.12398984068344497,0.06478873239436622,0.06478873239436622
-1.1749999999999998,0.19812206572769953,0.19812206572769953,0.05124507436673952,0.11267605633802817,0.09859154929577461,0.1250016947752851,0.06478873239436621,0.06478873239436621
-1.15,0.19812206572769955,0.19812206572769955,0.053224983196632256,0.1126760563380282,0.09859154929577466,0.1259974630704933,0.06478873239436621,0.06478873239436621
-1.125,0.19812206572769953,0.19812206572769955,0.05527602395985106,0.11267605633802813,0.09859154929577463,0.12697425934919865,0.0647887323943662,0.0647887323943662
-1.1,0.19812206572769953,0.19812206572769955,0.05740020818728357,0.11267605633802821,0.09859154929577466,0.12792896140037816,0.06478873239436618,0.06478873239436618
-1.075,0.19812206572769955,0.19812206572769955,0.05959950288373716,0.11267605633802821,0.0985915492957747,0.12885819799438358,0.06478873239436622,0.06478873239436624
-1.0499999999999998,0.1981220657276995,0.19812206572769955,0.06187581294345544,0.11267605633802817,0.09859154929577466,0.12975833598499442,0.06478873239436621,0.06478873239436621
-1.025,0.19812206572769953,0.19812206572769955,0.06423096130373625,0.11267605633802813,0.09859154929577461,0.1306254677306959,0.06478873239436621,0.0647887323943662
-1.0,0.19812206572769955,0.19812206572769955,0.06666666666666668,0.11267605633802813,0.09859154929577463,0.1314553990610329,0.0647887323943662,0.0647887323943662
-0.9749999999999999,0.19812206572769953,0.19812206572769953,0.06918451862515476,0.11267605633802813,0.09859154929577463,0.13224363805389205,0.06478873239436614,0.06478873239436615
-0.95,0.19812206572769953,0.19812206572769955,0.07178595004102584,0.11267605633802816,0.09859154929577466,0.13298538493334072,0.06478873239436618,0.06478873239436618
-0.925,0.19812206572769953,0.19812206572769953,0.0744722065411442,0.11267605633802819,0.09859154929577466,0.13367552344492462,0.06478873239436621,0.06478873239436622
-0.8999999999999999,0.19812206572769955,0.19812206572769955,0.07724431302362982,0.11267605633802817,0.09859154929577466,0.13430861411563305,0.0647887323943662,0.0647887323943662
-0.875,0.19812206572769953,0.19812206572769953,0.08010303710166605,0.11267605633802816,0.09859154929577461,0.13487888985832397,0.06478873239436618,0.06478873239436614
