protocol,lambda_org,E_total,A_org_ctrl,A_org_release,max_Dorg,max_L3,y_T,cM_T,task_resid_y,task_resid_cM,final_KL_to_pB
A,0.0,8.585478121518506,3.623892798434964,0.02627964052300202,3.4343389771457598,5.300092785986976e-06,1.0003725796489595,1.0008802126335763,0.00037257964895953677,0.0008802126335762939,7.023795711559187e-06
D1,1.0,8.506790144600108,3.1378869288934093,0.0729394126566087,2.81906568748888,1.1930289383066395e-05,1.1771337716968897,0.907277287202344,0.1771337716968897,0.09272271279765598,3.8452267150379535e-06
D2,100.0,3.0054946951534176,1.828524106591217,0.4525958646600721,1.5179935232599913,2.516251347728371e-06,1.0568709001240388,0.4747005736868244,0.05687090012403884,0.5252994263131756,0.00016092508393850493
