t,phase,Kdelta,families,m_4,m_5,m_6,m_7,m_8
2.2033898305084745,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
2.2711864406779663,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
2.3389830508474576,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
2.406779661016949,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
2.4745762711864407,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
2.542372881355932,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
2.610169491525424,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
2.6779661016949152,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
2.7457627118644066,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
2.8135593220338984,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
2.8813559322033897,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
2.9491525423728815,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.016949152542373,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.084745762711864,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.152542372881356,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.2203389830508478,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.288135593220339,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.3559322033898304,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.423728813559322,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.4915254237288136,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.5593220338983054,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.6271186440677967,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.694915254237288,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.7627118644067794,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.830508474576271,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.898305084745763,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
3.9661016949152543,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.033898305084746,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.101694915254237,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.169491525423728,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.23728813559322,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.305084745762712,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.372881355932203,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.4406779661016955,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.508474576271187,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.576271186440678,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
