S,size,q,T,lam,E,D,y_T
"(4,)",1,0,1,0.1,211.85777498671413,11.490088462965465,1.0
"(4,)",1,0,1,0.1778279410038923,211.85893322785608,11.485916964641751,1.0
"(4,)",1,0,1,0.31622776601683794,211.8625277197768,11.478633536499084,1.0
"(4,)",1,0,1,0.5623413251903491,211.87352585011965,11.466091342288042,1.0
"(4,)",1,0,1,1.0,211.90636923165525,11.44499970800181,1.0
"(4,)",1,0,1,1.7782794100389228,212.00055091250016,11.410909126238684,1.0
"(4,)",1,0,1,3.1622776601683795,212.2536800453283,11.359196801003327,1.0
"(4,)",1,0,1,5.623413251903491,212.8712109809719,11.287875067870408,1.0
"(4,)",1,0,1,10.0,214.19218389152374,11.201482209735,1.0
"(4,)",1,0,1,17.78279410038923,216.60696813839874,11.111970251390098,1.0
"(4,)",1,0,1,31.622776601683793,220.36231557359955,11.033097364188041,1.0
"(4,)",1,0,1,56.23413251903491,225.43081959431785,10.972868444708867,0.9999999999999998
"(4,)",1,0,1,100.0,231.58424356899994,10.931577847951843,1.0
"(4,)",1,0,1,177.82794100389228,238.57848978076677,10.905126117590632,1.0
"(4,)",1,0,1,316.22776601683796,246.30340567922528,10.88868756477158,1.0
"(4,)",1,0,1,562.341325190349,254.85301065143722,10.878463699711622,0.9999999999999999
"(4,)",1,0,1,1000.0,264.54290868765554,10.871957250572756,1.0
"(4,)",1,0,1,1778.2794100389228,275.91230706834244,10.86767175263818,1.0
"(4,)",1,0,1,3162.2776601683795,289.73581487606054,10.864746381670285,1.0
"(4,)",1,0,1,5623.413251903491,307.05811118331536,10.862687573300024,0.9999999999999998
"(4,)",1,0,1,10000.0,329.2582296950327,10.861205139940536,0.9999999999999999
"(4,)",1,0,1,17782.794100389227,358.1486825711508,10.86012091912411,1.0
"(4,)",1,0,1,31622.776601683792,396.11628798622206,10.85931994862099,0.9999999999999998
"(4,)",1,0,1,56234.13251903491,446.31462986421803,10.858724565534441,1.0
"(4,)",1,0,1,100000.0,512.9231943630873,10.858280362757043,1.0
"(4,)",1,0,1,177827.94100389228,601.4933873930573,10.857948232476474,1.0
"(4,)",1,0,1,316227.7660168379,719.4102096727897,10.85769958594784,1.0
"(4,)",1,0,1,562341.3251903491,876.5063268045229,10.857513303732677,1.0
"(4,)",1,0,1,1000000.0,1085.8804722056054,10.85737368537283,1.0
"(4,)",1,0,3,0.0,173.49347090222412,10.806943237679512,0.9999999999999998
"(4,)",1,0,3,0.0001,173.4934709034171,10.806931310304803,1.0
"(4,)",1,0,3,0.00017782794100389227,173.49347090599582,10.806922027720725,1.0
"(4,)",1,0,3,0.00031622776601683794,173.49347091415063,10.806905521223252,0.9999999999999998
"(4,)",1,0,3,0.0005623413251903491,173.49347093993813,10.80687616973701,1.0
"(4,)",1,0,3,0.001,173.49347102147587,10.80682397990001,1.0
"(4,)",1,0,3,0.0017782794100389228,173.49347127927322,10.806731188564973,1.0
"(4,)",1,0,3,0.0031622776601683794,173.4934720942314,10.806566232678819,0.9999999999999998
"(4,)",1,0,3,0.005623413251903491,173.4934746698444,10.806273062617162,1.0
"(4,)",1,0,3,0.01,173.49348280616312,10.80575225366619,0.9999999999999998
"(4,)",1,0,3,0.01778279410038923,173.4935084878481,10.804827780105041,1.0
"(4,)",1,0,3,0.03162277660168379,173.49358943378195,10.803189069374184,1.0
"(4,)",1,0,3,0.05623413251903491,173.49384391806194,10.800291509020372,1.0
"(4,)",1,0,3,0.1,173.4946403963949,10.79519046550436,1.0
"(4,)",1,0,3,0.1778279410038923,173.4971135749877,10.786279193723175,1.0
"(4,)",1,0,3,0.31622776601683794,173.50468820756907,10.770919180981531,1.0
"(4,)",1,0,3,0.5623413251903491,173.52734631919924,10.745046369039095,1.0
"(4,)",1,0,3,1.0,173.59250638500365,10.703111231751237,1.0
"(4,)",1,0,3,1.7782794100389228,173.76845324010645,10.639208740257024,1.0
"(4,)",1,0,3,3.1622776601683795,174.20079291583139,10.550449631815802,1.0
"(4,)",1,0,3,5.623413251903491,175.13500092024444,10.441858890816542,1.0
"(4,)",1,0,3,10.0,176.86284286448142,10.328026093946647,1.0
"(4,)",1,0,3,17.78279410038923,179.5722393112492,10.226853896048455,1.0
"(4,)",1,0,3,31.622776601683793,183.2113320941372,10.149900445726242,1.0
"(4,)",1,0,3,56.23413251903491,187.4951606044635,10.098666390082103,1.0
"(4,)",1,0,3,100.0,192.03248440170594,10.068013492327175,1.0
"(4,)",1,0,3,177.82794100389228,196.46060085178917,10.051133348757315,1.0
"(4,)",1,0,3,316.22776601683796,200.52072881037054,10.042407299409122,1.0
"(4,)",1,0,3,562.341325190349,204.07263445431008,10.03810625866176,1.0
"(4,)",1,0,3,1000.0,207.07412686194175,10.036059566876595,1.0
"(4,)",1,0,3,1778.2794100389228,209.54938112225406,10.035109530099728,1.0
"(4,)",1,0,3,3162.2776601683795,211.5599326821344,10.034675365530212,1.0
"(4,)",1,0,3,5623.413251903491,213.1835277603741,10.034478198455147,1.0
"(4,)",1,0,3,10000.0,214.5010893286822,10.03438826911607,0.9999999999999998
"(4,)",1,0,3,17782.794100389227,215.59009148140387,10.034346522210596,1.0
"(4,)",1,0,3,31622.776601683792,216.52234453029115,10.034326467187324,0.9999999999999998
"(4,)",1,0,3,56234.13251903491,217.36455630738178,10.034316308745542,1.0
"(4,)",1,0,3,100000.0,218.1805965335949,10.034310793312311,1.0
"(4,)",1,0,3,177827.94100389228,219.03481920412415,10.03430755783769,1.0
"(4,)",1,0,3,316227.7660168379,219.99629269580802,10.034305515822542,0.9999999999999998
"(4,)",1,0,3,562341.3251903491,221.14367957912776,10.034304148019032,1.0
