q,T,S,lam,E_riccati,E_hamiltonian,D_riccati,D_hamiltonian,max_m_diff,max_u_diff,dE,dD,dyT
0.0,1.0,[4],0.0,211.85723233583204,211.85723231011605,11.495530543752709,11.495530543013292,9.015366231324151e-10,1.1519215359356849e-08,2.5715991114338976e-08,7.394174161845513e-10,6.553813047815993e-11
0.0,1.0,[4],1.0,211.90636923165525,211.90636919815927,11.44499970800181,11.444999706984618,1.0895990776305098e-09,1.4600616049520454e-08,3.349597932356119e-08,1.0171916642320866e-09,8.061740164322373e-11
1.0,1.0,[6],0.0,209.0162624863453,209.016262492481,8.910228563951124,8.910228564896812,9.084518692858978e-10,9.512842069625549e-09,6.135678631835617e-09,9.456879723757083e-10,1.1583178860519183e-11
1.0,1.0,[6],10.0,214.0378993424416,214.03789930663942,8.273485104217553,8.273485104276613,9.759255625851893e-10,4.9453714012770433e-08,3.580217367016303e-08,5.906031219637953e-11,5.283506965270135e-11
-1.0,0.5,[5],100.0,816.4072987563969,816.4072987556805,35.0806873946988,35.080687394491754,2.2540618260791234e-09,1.0523210320911858e-06,7.164544513216242e-10,2.070450477731356e-10,1.5179635326489915e-11
0.0,3.0,"[4, 6]",1.0,139.4468475802354,139.4467444251751,11.050591610475903,11.05058903025957,4.949612748994525e-06,8.04724427175274e-05,0.00010315506031588484,2.580216333925023e-06,3.352475030915514e-07
