q,k,T,E_stage3,E_stage4,rel_err,y_T
0.0,4,1.0,211.85723233805763,211.85723233583204,1.0505142326724407e-11,1.0
0.0,6,1.0,1400.1197725040429,1400.1197724988533,3.706523449086813e-12,1.0
1.0,4,1.0,154.61562397600264,154.6156239746876,8.50524701073849e-12,1.0
1.0,6,1.0,209.016262488443,209.0162624863453,1.00360261983748e-11,1.0
0.0,4,3.0,173.49347090376546,173.49347090222412,8.884125241665143e-12,0.9999999999999998
1.0,6,3.0,207.04116485366976,207.04116485158053,1.0090858106824967e-11,0.9999999999999998
-1.0,5,0.5,728.1487788063538,728.1487788086191,3.111072893858919e-12,1.0
2.0,4,2.0,127.36237460011195,127.36237460039453,2.218730978430921e-12,1.0
