k,q,T,lam,E,D,Dbar,D_T,D_max,y_T,resid_norm,m_T_1,m_T_2,m_T_3,m_T_4,m_T_5,m_T_6,m_T_7,m_T_8
1,-2,0.1,0.0,109.09418965198813,0.45735811118030084,4.5735811118030085,12.627944874715777,12.627944874715777,1.0000000000000002,2.205623938529,2.6882094077973373,0.13045040137305602,0.18134019082960742,0.12722395552378574,0.06961360600580462,0.21625380168262734,0.012355445212010867,0.012355445212010865
1,-2,0.1,0.0001,109.09418965200423,0.4573579499751918,4.573579499751918,12.627945917741751,12.627945917741751,1.0,2.2056240316995215,2.6882094789807898,0.13045037319545322,0.18134014782375735,0.12722392833048626,0.0696135906044127,0.21625375924121043,0.01235544152715112,0.01235544152715112
1,-2,0.1,0.00017782794100389227,109.09418965203913,0.4573578245126672,4.573578245126672,12.627946729506975,12.627946729506975,1.0000000000000002,2.2056241042121822,2.688209534381376,0.13045035126541665,0.1813401143532077,0.12722390716651238,0.06961357861783288,0.2162537262099465,0.012355438659302252,0.012355438659302252
1,-2,0.1,0.00031622776601683794,109.09418965214932,0.4573576014054375,4.573576014054375,12.627948173051532,12.627948173051532,1.0,2.2056242331598748,2.688209632899036,0.13045031226770834,0.18134005483325588,0.12722386953107653,0.06961355730235802,0.21625366747116537,0.01235543355946903,0.01235543355946903
1,-2,0.1,0.0005623413251903491,109.09418965249787,0.4573572046590642,4.573572046590642,12.627950740074457,12.627950740074457,0.9999999999999999,2.2056244624646464,2.688209808090764,0.13045024291896404,0.1813399489902719,0.1272238026048303,0.06961351939753053,0.2162535630173134,0.012355424490551478,0.012355424490551478
1,-2,0.1,0.001,109.0941896536002,0.45735649913511633,4.573564991351163,12.627955304950067,12.627955304950069,0.9999999999999999,2.205624870231794,2.6882101196299812,0.13045011959776454,0.18133976077225414,0.12722368359150013,0.06961345199229083,0.21625337726953678,0.012355408363516436,0.012355408363516434
1,-2,0.1,0.0017782794100389228,109.0941896570858,0.45735524452259485,4.573552445225948,12.627963422547923,12.627963422547928,1.0,2.205625595353174,2.6882106736317803,0.1304499002989872,0.181339426069233,0.12722347195328884,0.06961333212736584,0.21625304695921946,0.012355379685250417,0.012355379685250417
1,-2,0.1,0.0031622776601683794,109.09418966810836,0.45735301349056406,4.57353013490564,12.627977857821168,12.627977857821168,0.9999999999999999,2.205626884813538,2.6882116587955136,0.1304495103269322,0.18133883087755417,0.12722309560376815,0.06961311897538268,0.21625245957875813,0.012355328687623316,0.012355328687623315
1,-2,0.1,0.005623413251903491,109.09418970296409,0.457349046154167,4.573490461541669,12.628003527505282,12.628003527505282,1.0,2.2056291778088886,2.68821341067211,0.1304488168553887,0.1813377724725014,0.12722242635660458,0.06961273993585265,0.21625141506348214,0.01235523800067731,0.01235523800067731
1,-2,0.1,0.01,109.09418981318457,0.45734199131736347,4.573419913173635,12.628049174537614,12.628049174537614,1.0,2.2056332553147797,2.688216525935619,0.13044758369367315,0.18133589037070788,0.12722123627168014,0.06961206591110922,0.21624955765921988,0.012355076737377003,0.012355076737377003
1,-2,0.1,0.01778279410038923,109.09419016171455,0.4573294464655466,4.573294464655466,12.62813034506438,12.62813034506438,0.9999999999999999,2.205640506004906,2.6882220655467157,0.1304453908649049,0.18133254358837902,0.1272191200425577,0.06961086734931174,0.21624625478849915,0.01235478997701196,0.01235478997701196
1,-2,0.1,0.03162277660168379,109.09419126376393,0.45730714017178326,4.573071401717832,12.628274680558293,12.628274680558293,1.0000000000000002,2.2056533989526748,2.6882319158974366,0.13044149164714394,0.1813265924554199,0.12721535703112163,0.06960873610601322,0.21624038171892415,0.012354280071240342,0.01235428007124034
1,-2,0.1,0.05623413251903491,109.09419474819195,0.45726747953924946,4.572674795392494,12.62853132289081,12.62853132289081,0.9999999999999999,2.205676323670335,2.688249430595153,0.13043455852151392,0.1813160108833329,0.1272086660891536,0.06960494658510194,0.21622993889033493,0.012353373424696664,0.012353373424696664
1,-2,0.1,0.1,109.09420576378358,0.4571969714224524,4.571969714224524,12.628987620870705,12.628987620870705,0.9999999999999999,2.205717082174874,2.68828057036756,0.1304222319308916,0.18129719770154817,0.12719677007630598,0.06959820910224797,0.21621137219612294,0.012351761496492466,0.012351761496492466
1,-2,0.1,0.1778279410038923,109.09424058051097,0.4570716501387811,4.57071650138781,12.629798781294092,12.629798781294097,1.0,2.2057895367425644,2.6883359258157387,0.13040031953360195,0.18126375465065975,0.12717562307440186,0.06958623222394436,0.21617836671954047,0.012348896120910696,0.012348896120910694
1,-2,0.1,0.31622776601683794,109.0943505816201,0.45684898926484985,4.568489892648498,12.631240414148275,12.631240414148275,1.0,2.205918300816491,2.6884343008066143,0.13036137757829805,0.18120432161508812,0.12713804128265413,0.0695649474130548,0.21611970944561346,0.012343804105025884,0.012343804105025884
1,-2,0.1,0.5623413251903491,109.09469787969688,0.45645365276471994,4.564536527647199,12.633801396614036,12.633801396614036,0.9999999999999999,2.206147025443309,2.688609041776599,0.1302922049842723,0.18109875323912802,0.1270712845238827,0.06952713946748686,0.21601551311608205,0.012334759885688804,0.012334759885688804
1,-2,0.1,1.0,109.0957930164152,0.45575257809795516,4.557525780979551,12.638347198134493,12.638347198134493,1.0,2.206552960862432,2.6889191578213367,0.13016943994480432,0.18091140223385901,0.1269528063177819,0.06946004011251802,0.2158305784285203,0.012318710827847688,0.012318710827847688
