seed,t,phase,n_live_hypotheses,map_hid,map_prob,map_size,map_age,map_status,margin_top1_top2,entropy,n_exact_duplicate_groups,n_near_duplicate_pairs,coalesced_entropy,coalesced_margin,coalesced_map_matches_map,C,D,Q,n_components,size_frac,R_retain_step,R_purity_step,R_F,D_deform,bulk_speed,consistency_vs_vizbundle_ok
503,1,uncontrolled,1,0,1.0,45,0,active,1.0,-0.0,0,0,-0.0,1.0,True,0.14229164972072997,1.0,0.5436819390815572,8,0.1125,,,,,,True
503,2,uncontrolled,1,0,1.0,41,1,active,1.0,-0.0,0,0,-0.0,1.0,True,0.2300971007818684,0.6666666666666667,0.3872762563506505,14,0.1025,0.7777777777777778,0.8536585365853658,0.6230132828337376,0.22081324319108225,0.18195977430784405,True
503,3,uncontrolled,2,1,0.6405133468976208,35,2,active,0.2810266937952417,0.65312226138991,0,0,0.65312226138991,0.2810266937952417,True,0.08571428571428572,0.6666666666666667,0.388895629743398,15,0.0875,0.6341463414634146,0.7428571428571429,0.48266755714804865,0.3030182478915405,1.9384550826073093,True
503,4,uncontrolled,3,4,0.4120993796776004,16,3,active,0.05261272657522126,1.0703803253466346,0,0,1.0703803253466346,0.05261272657522126,True,0.08838834764831845,1.0,1.0,5,0.04,0.45714285714285713,1.0,0.4948904657407436,0.29585889727073134,0.39923526807061493,True
503,5,uncontrolled,3,4,0.4120993796776004,17,4,individuation_loss,0.05261272657522126,1.0703803253466346,0,0,1.0703803253466346,0.05261272657522126,True,0.29411764705882354,1.0,0.9758122734113979,6,0.0425,1.0,0.9411764705882353,0.7360445378641935,0.1546072023182264,0.23391069204944762,True
503,6,uncontrolled,4,4,0.4120993796776004,17,5,active,0.18368541245758,1.3150817642128942,0,0,1.3150817642128942,0.18368541245758,True,0.21209125149788174,1.0,0.9669925011491239,6,0.0425,1.0,1.0,0.7740874984263184,0.13232421695084434,0.05938555041940805,True
503,7,uncontrolled,4,4,0.4120993796776004,50,6,individuation_loss,0.18368541245758,1.3150817642128942,1,0,0.8978237002561698,0.43246566114358753,True,0.2,0.5,0.4304849643615433,21,0.125,0.7058823529411765,0.24,0.30104046938699003,0.40940307386455455,4.034555395133007,True
503,8,uncontrolled,6,7,0.20894921137488903,35,7,active,0.0009015256208556865,1.7589883654514722,2,0,1.341730301494747,0.009013273666827248,True,0.3194382824999699,1.0,0.500408223909479,11,0.0875,0.46,0.6571428571428571,0.3920802882164761,0.35607812436400904,0.13479700486246163,True
503,9,uncontrolled,6,6,0.23003592083094018,18,8,active,0.0054151284241266695,1.7450465283455154,2,0,1.352539125713482,0.09572256618514635,False,0.24845199749997662,1.0,0.7871925847640061,7,0.045,0.6206896551724138,1.0,0.5069117361869377,0.28881765259650444,0.47206658600832785,True
503,10,uncontrolled,6,6,0.23003592083094018,37,9,individuation_loss,0.0054151284241266695,1.7450465283455154,2,0,1.352539125713482,0.09572256618514635,False,0.06043426966215648,1.0,0.4122577997325166,15,0.0925,0.9444444444444444,0.4594594594594595,0.4547714557574599,0.3193578915446258,0.4254352071058337,True
503,11,uncontrolled,6,8,0.2469349922736214,19,10,individuation_loss,0.06285648254594878,1.7557075365681443,1,0,1.5056813975337482,0.19972492742152534,True,0.3370065388122552,1.0,1.0,6,0.0475,1.0,0.9473684210526315,0.7801247956857309,0.12878797780167678,0.12529175793653438,True
503,12,uncontrolled,6,8,0.2469349922736214,18,11,active,0.06285648254594878,1.7557075365681443,1,0,1.5056813975337482,0.19972492742152534,True,0.3928371006591931,1.0,1.0,5,0.045,0.9473684210526315,1.0,0.7848381387530703,0.12602722119785084,0.22721657165301387,True
503,13,uncontrolled,6,8,0.2469349922736214,18,12,active,0.06285648254594878,1.7557075365681443,2,0,1.2757505819939818,0.04959201368443683,True,0.3928371006591931,1.0,1.0,5,0.045,1.0,1.0,0.8403331989944611,0.09352197983259186,0.10999438818457316,True
503,14,uncontrolled,6,8,0.2469349922736214,19,13,individuation_loss,0.06285648254594878,1.7557075365681443,2,0,1.2757505819939818,0.04959201368443683,True,0.3684210526315789,1.0,1.0,5,0.0475,0.9444444444444444,0.8947368421052632,0.741773441057439,0.15125159949079212,0.11244620863598376,True
503,15,uncontrolled,6,8,0.2469349922736214,20,14,individuation_loss,0.06285648254594878,1.7557075365681443,2,0,1.2757505819939818,0.04959201368443683,True,0.552268050859363,1.0,1.0,6,0.05,1.0,0.95,0.7986569379169449,0.11793310614966565,0.11508265064901385,True
503,16,uncontrolled,6,8,0.2469349922736214,20,15,active,0.06285648254594878,1.7557075365681443,2,0,1.2757505819939818,0.04959201368443683,True,0.45276925690687087,1.0,0.9337506871553958,4,0.05,0.95,0.95,0.8107420500283369,0.11085446735914467,0.17601348331735045,True
503,17,uncontrolled,6,8,0.2587693705204176,19,16,active,0.06586888424269835,1.7191792100988053,2,0,1.2162202820484933,0.051968714704240526,True,0.38316367838318516,1.0,1.0,4,0.0475,0.9,0.9473684210526315,0.7882902431717591,0.12400521262880951,0.41134370312921337,True
503,18,uncontrolled,6,8,0.2587693705204176,28,17,individuation_loss,0.06586888424269835,1.7191792100988053,2,0,1.2162202820484933,0.051968714704240526,True,0.5463235193135126,1.0,1.0,5,0.07,1.0,0.6785714285714286,0.5958680459966755,0.23671308132924712,0.3700172247419129,True
503,19,uncontrolled,6,8,0.2587693705204176,27,18,active,0.06586888424269835,1.7191792100988053,2,0,1.0459691019810804,0.0077859127337766565,False,0.4581228472908511,1.0,1.0,4,0.0675,0.9642857142857143,1.0,0.8591902842411887,0.08247677860704249,0.18095351910760013,True
503,20,uncontrolled,6,8,0.2587693705204176,27,19,active,0.06586888424269835,1.7191792100988053,2,0,1.0459691019810804,0.0077859127337766565,False,0.414086662499961,1.0,1.0,7,0.0675,1.0,1.0,0.8907147819269885,0.06401186656373245,0.11594426549998763,True
503,21,uncontrolled,6,8,0.29319550499911096,28,20,individuation_loss,0.08038878460079812,1.7065695909013743,2,0,1.2367575223587792,0.20432198853249367,True,0.2525381361380527,1.0,1.0,8,0.07,1.0,0.9642857142857143,0.8335545567147752,0.09749244859992909,0.05073055167505162,True
503,22,uncontrolled,6,8,0.29319550499911096,28,21,active,0.08038878460079812,1.7065695909013743,2,0,1.2367575223587792,0.20432198853249367,True,0.21428571428571427,1.0,1.0,7,0.07,1.0,1.0,0.8412588962830788,0.09297976916254663,0.05999999999999872,True
503,23,uncontrolled,6,8,0.29319550499911096,28,22,active,0.08038878460079812,1.7065695909013743,2,0,1.2367575223587792,0.20432198853249367,True,0.15971914124998496,1.0,1.0,9,0.07,1.0,1.0,0.8309234528141536,0.09903357076422205,0.04472135954999643,True
503,24,uncontrolled,6,8,0.29319550499911096,34,23,individuation_loss,0.08038878460079812,1.7065695909013743,2,0,1.2367575223587792,0.20432198853249367,True,0.2663348570040417,1.0,0.9636138097770576,12,0.085,1.0,0.8235294117647058,0.7628711891433488,0.13889396998623962,0.40272608392570597,True
