seed,t,hid,hyp_prob_prior,hyp_size_prior,cand_idx,r_retain,r_purity,dice,passes_gate,cand_size,prev_size,R_F,score,D_deform,bulk_delta,bulk_speed
501,2,0,1.0,47,0,0.02127659574468085,0.02040816326530612,0.020833333333333332,False,49,47,,,,,
501,2,0,1.0,47,1,0.0,0.0,0.0,False,44,47,,,,,
501,2,0,1.0,47,2,0.3829787234042553,0.43902439024390244,0.4090909090909091,True,41,47,0.4796118552166322,0.43729928754119834,0.2741961002184007,"[-0.2212661279902548, 3.702143085723346]",3.7087494019635487
501,2,0,1.0,47,3,0.06382978723404255,0.07894736842105263,0.07058823529411765,False,38,47,,,,,
501,2,0,1.0,47,4,0.0,0.0,0.0,False,35,47,,,,,
501,2,0,1.0,47,5,0.0,0.0,0.0,False,34,47,,,,,
501,2,0,1.0,47,6,0.0,0.0,0.0,False,28,47,,,,,
501,2,0,1.0,47,7,0.10638297872340426,0.2,0.1388888888888889,False,25,47,,,,,
501,2,0,1.0,47,8,0.0,0.0,0.0,False,25,47,,,,,
501,2,0,1.0,47,9,0.0,0.0,0.0,False,24,47,,,,,
501,2,0,1.0,47,10,0.0,0.0,0.0,False,24,47,,,,,
501,2,0,1.0,47,11,0.425531914893617,0.9523809523809523,0.5882352941176471,True,21,47,0.4077183457053347,0.5160285147527222,0.3120772858999434,"[-0.0770940708639305, -0.14933169984832873]",0.1680578839030293
501,2,0,1.0,47,12,0.0,0.0,0.0,False,12,47,,,,,
501,3,2,0.5780849668558733,21,0,1.0,0.39622641509433965,0.5675675675675675,True,53,21,0.3535774288074134,0.48197151206350586,0.3406045081752288,"[-0.613775848517097, 0.6738115590663121]",0.9114509363395578
501,3,2,0.5780849668558733,21,1,0.0,0.0,0.0,False,49,21,,,,,
501,3,2,0.5780849668558733,21,2,0.0,0.0,0.0,False,44,21,,,,,
501,3,2,0.5780849668558733,21,3,0.0,0.0,0.0,False,36,21,,,,,
501,3,2,0.5780849668558733,21,4,0.0,0.0,0.0,False,33,21,,,,,
501,3,2,0.5780849668558733,21,5,0.0,0.0,0.0,False,31,21,,,,,
501,3,2,0.5780849668558733,21,6,0.0,0.0,0.0,False,30,21,,,,,
501,3,2,0.5780849668558733,21,7,0.0,0.0,0.0,False,26,21,,,,,
501,3,2,0.5780849668558733,21,8,0.0,0.0,0.0,False,23,21,,,,,
501,3,2,0.5780849668558733,21,9,0.0,0.0,0.0,False,22,21,,,,,
501,3,2,0.5780849668558733,21,10,0.0,0.0,0.0,False,17,21,,,,,
501,3,2,0.5780849668558733,21,11,0.0,0.0,0.0,False,15,21,,,,,
501,3,2,0.5780849668558733,21,12,0.0,0.0,0.0,False,13,21,,,,,
501,3,1,0.42191503314412665,41,0,0.5853658536585366,0.4528301886792453,0.5106382978723404,True,53,41,0.3827541320920552,0.4594846315602263,0.32523110211654815,"[-1.4696037913907727, -3.177663226505363]",3.5010396862581556
501,3,1,0.42191503314412665,41,1,0.0,0.0,0.0,False,49,41,,,,,
501,3,1,0.42191503314412665,41,2,0.0,0.0,0.0,False,44,41,,,,,
501,3,1,0.42191503314412665,41,3,0.0,0.0,0.0,False,36,41,,,,,
501,3,1,0.42191503314412665,41,4,0.0,0.0,0.0,False,33,41,,,,,
501,3,1,0.42191503314412665,41,5,0.0,0.0,0.0,False,31,41,,,,,
501,3,1,0.42191503314412665,41,6,0.0,0.0,0.0,False,30,41,,,,,
501,3,1,0.42191503314412665,41,7,0.36585365853658536,0.5769230769230769,0.44776119402985076,True,26,41,0.3981201238132721,0.4279047659432193,0.3171346551698179,"[3.0844476470834543, -2.7191909243276626]",4.111911547023426
501,3,1,0.42191503314412665,41,8,0.0,0.0,0.0,False,23,41,,,,,
501,3,1,0.42191503314412665,41,9,0.0,0.0,0.0,False,22,41,,,,,
501,3,1,0.42191503314412665,41,10,0.0,0.0,0.0,False,17,41,,,,,
501,3,1,0.42191503314412665,41,11,0.04878048780487805,0.13333333333333333,0.07142857142857142,False,15,41,,,,,
501,3,1,0.42191503314412665,41,12,0.0,0.0,0.0,False,13,41,,,,,
501,4,2,0.5780849668558733,53,0,0.9245283018867925,0.9607843137254902,0.9423076923076923,True,51,53,0.6657324421961509,0.8316775922630757,0.17612788011821295,"[-0.12823454536203016, -0.18363521107977832]",0.22397765373474496
501,4,2,0.5780849668558733,53,1,0.0,0.0,0.0,False,38,53,,,,,
501,4,2,0.5780849668558733,53,2,0.0,0.0,0.0,False,35,53,,,,,
501,4,2,0.5780849668558733,53,3,0.0,0.0,0.0,False,35,53,,,,,
501,4,2,0.5780849668558733,53,4,0.0,0.0,0.0,False,30,53,,,,,
501,4,2,0.5780849668558733,53,5,0.0,0.0,0.0,False,28,53,,,,,
501,4,2,0.5780849668558733,53,6,0.05660377358490566,0.1111111111111111,0.075,False,27,53,,,,,
501,4,2,0.5780849668558733,53,7,0.0,0.0,0.0,False,26,53,,,,,
501,4,2,0.5780849668558733,53,8,0.0,0.0,0.0,False,23,53,,,,,
501,4,2,0.5780849668558733,53,9,0.0,0.0,0.0,False,22,53,,,,,
501,4,2,0.5780849668558733,53,10,0.0,0.0,0.0,False,19,53,,,,,
501,4,2,0.5780849668558733,53,11,0.0,0.0,0.0,False,18,53,,,,,
501,4,2,0.5780849668558733,53,12,0.018867924528301886,0.058823529411764705,0.02857142857142857,False,17,53,,,,,
501,4,2,0.5780849668558733,53,13,0.0,0.0,0.0,False,17,53,,,,,
501,4,2,0.5780849668558733,53,14,0.0,0.0,0.0,False,14,53,,,,,
501,4,3,0.22426384766672985,53,0,0.9245283018867925,0.9607843137254902,0.9423076923076923,True,51,53,0.6657324421961509,0.8316775922630757,0.17612788011821295,"[-0.12823454536203016, -0.18363521107977832]",0.22397765373474496
501,4,3,0.22426384766672985,53,1,0.0,0.0,0.0,False,38,53,,,,,
501,4,3,0.22426384766672985,53,2,0.0,0.0,0.0,False,35,53,,,,,
501,4,3,0.22426384766672985,53,3,0.0,0.0,0.0,False,35,53,,,,,
501,4,3,0.22426384766672985,53,4,0.0,0.0,0.0,False,30,53,,,,,
501,4,3,0.22426384766672985,53,5,0.0,0.0,0.0,False,28,53,,,,,
501,4,3,0.22426384766672985,53,6,0.05660377358490566,0.1111111111111111,0.075,False,27,53,,,,,
501,4,3,0.22426384766672985,53,7,0.0,0.0,0.0,False,26,53,,,,,
501,4,3,0.22426384766672985,53,8,0.0,0.0,0.0,False,23,53,,,,,
501,4,3,0.22426384766672985,53,9,0.0,0.0,0.0,False,22,53,,,,,
501,4,3,0.22426384766672985,53,10,0.0,0.0,0.0,False,19,53,,,,,
