seed,t,hid,hyp_prob_prior,hyp_size_prior,cand_idx,r_retain,r_purity,dice,passes_gate,cand_size,prev_size,R_F,score,D_deform,bulk_delta,bulk_speed
504,2,0,1.0,44,0,0.022727272727272728,0.017543859649122806,0.019801980198019802,False,57,44,,,,,
504,2,0,1.0,44,1,0.29545454545454547,0.2708333333333333,0.2826086956521739,False,48,44,,,,,
504,2,0,1.0,44,2,0.0,0.0,0.0,False,47,44,,,,,
504,2,0,1.0,44,3,0.0,0.0,0.0,False,34,44,,,,,
504,2,0,1.0,44,4,0.22727272727272727,0.3125,0.2631578947368421,False,32,44,,,,,
504,2,0,1.0,44,5,0.0,0.0,0.0,False,28,44,,,,,
504,2,0,1.0,44,6,0.022727272727272728,0.045454545454545456,0.030303030303030304,False,22,44,,,,,
504,2,0,1.0,44,7,0.4318181818181818,0.9047619047619048,0.5846153846153846,True,21,44,0.30209455358196224,0.4716070522020157,0.31797462565265255,"[0.07394365847616413, 0.2656398369917845]",0.27573934725726296
504,2,0,1.0,44,8,0.0,0.0,0.0,False,21,44,,,,,
504,2,0,1.0,44,9,0.0,0.0,0.0,False,21,44,,,,,
504,2,0,1.0,44,10,0.0,0.0,0.0,False,18,44,,,,,
504,2,0,1.0,44,11,0.0,0.0,0.0,False,17,44,,,,,
504,2,0,1.0,44,12,0.0,0.0,0.0,False,16,44,,,,,
504,3,0,1.0,21,0,0.047619047619047616,0.020833333333333332,0.028985507246376812,False,48,21,,,,,
504,3,0,1.0,21,1,0.0,0.0,0.0,False,42,21,,,,,
504,3,0,1.0,21,2,0.0,0.0,0.0,False,41,21,,,,,
504,3,0,1.0,21,3,0.0,0.0,0.0,False,33,21,,,,,
504,3,0,1.0,21,4,0.0,0.0,0.0,False,32,21,,,,,
504,3,0,1.0,21,5,0.0,0.0,0.0,False,32,21,,,,,
504,3,0,1.0,21,6,0.9523809523809523,0.625,0.7547169811320755,True,32,21,0.4609820030402607,0.6372229898953496,0.24558347650528656,"[0.18234827630848005, 0.0709060082016677]",0.19564906304853277
504,3,0,1.0,21,7,0.0,0.0,0.0,False,28,21,,,,,
504,3,0,1.0,21,8,0.0,0.0,0.0,False,23,21,,,,,
504,3,0,1.0,21,9,0.0,0.0,0.0,False,21,21,,,,,
504,3,0,1.0,21,10,0.0,0.0,0.0,False,17,21,,,,,
504,3,0,1.0,21,11,0.0,0.0,0.0,False,16,21,,,,,
504,3,0,1.0,21,12,0.0,0.0,0.0,False,14,21,,,,,
504,3,0,1.0,21,13,0.0,0.0,0.0,False,12,21,,,,,
504,4,0,1.0,32,0,0.0,0.0,0.0,False,39,32,,,,,
504,4,0,1.0,32,1,0.0,0.0,0.0,False,38,32,,,,,
504,4,0,1.0,32,2,0.0,0.0,0.0,False,38,32,,,,,
504,4,0,1.0,32,3,0.0,0.0,0.0,False,33,32,,,,,
504,4,0,1.0,32,4,0.0,0.0,0.0,False,30,32,,,,,
504,4,0,1.0,32,5,0.25,0.26666666666666666,0.25806451612903225,False,30,32,,,,,
504,4,0,1.0,32,6,0.0,0.0,0.0,False,28,32,,,,,
504,4,0,1.0,32,7,0.0,0.0,0.0,False,26,32,,,,,
504,4,0,1.0,32,8,0.0,0.0,0.0,False,26,32,,,,,
504,4,0,1.0,32,9,0.6875,1.0,0.8148148148148148,True,22,32,0.43358358820976006,0.6623223241727929,0.2580665438662284,"[-0.41794659597427275, -0.13337940881455523]",0.4387133731517678
