seed,t,phase,n_live_hypotheses,map_hid,map_prob,map_size,map_age,map_status,margin_top1_top2,entropy,n_exact_duplicate_groups,n_near_duplicate_pairs,coalesced_entropy,coalesced_margin,coalesced_map_matches_map,C,D,Q,n_components,size_frac,R_retain_step,R_purity_step,R_F,D_deform,bulk_speed,consistency_vs_vizbundle_ok
500,1,uncontrolled,1,0,1.0,46,0,active,1.0,-0.0,0,0,-0.0,1.0,True,0.1267598238009848,0.9090909090909091,0.4970765594522553,15,0.115,,,,,,True
500,2,uncontrolled,1,0,1.0,44,1,active,1.0,-0.0,0,0,-0.0,1.0,True,0.28747978728803447,0.8333333333333334,0.5180032489529038,13,0.11,0.8913043478260869,0.9318181818181818,0.6805972950485368,0.20146939126833666,0.21593772610057055,True
500,3,uncontrolled,2,1,0.6501601897796762,36,2,active,0.30032037955935237,0.6473474188789675,0,0,0.6473474188789675,0.30032037955935237,True,0.23895347964007296,0.0,0.5377411169640232,12,0.09,0.5454545454545454,0.6666666666666666,0.6185525661610696,0.2406052957756781,3.137041177209977,True
500,4,uncontrolled,2,1,0.6501601897796762,51,3,individuation_loss,0.30032037955935237,0.6473474188789675,0,0,0.6473474188789675,0.30032037955935237,True,0.18498002219718832,1.0,0.5513235056591009,14,0.1275,0.8611111111111112,0.6078431372549019,0.500471488160602,0.3150872038380357,0.27145584889970925,True
500,5,uncontrolled,2,1,0.6501601897796762,40,4,active,0.30032037955935237,0.6473474188789675,0,0,0.6473474188789675,0.30032037955935237,True,0.18027756377319945,0.75,0.6022732919162119,12,0.1,0.7843137254901961,1.0,0.6652188210146965,0.2111696591565017,0.07110174333638618,True
500,6,uncontrolled,2,1,0.6501601897796762,57,5,individuation_loss,0.30032037955935237,0.6473474188789675,0,0,0.6473474188789675,0.30032037955935237,True,0.12280701754385964,1.0,0.455986573137397,24,0.1425,1.0,0.7017543859649122,0.6909302875762302,0.19495165775430456,0.22869371867579735,True
500,7,uncontrolled,2,1,0.6501601897796762,48,6,active,0.30032037955935237,0.6473474188789675,0,0,0.6473474188789675,0.30032037955935237,True,0.1502313031443329,0.5,0.504306230000085,20,0.12,0.7894736842105263,0.9375,0.6364716923312168,0.2293024627514284,0.21977419591479333,True
500,8,uncontrolled,2,1,0.6501601897796762,57,7,individuation_loss,0.30032037955935237,0.6473474188789675,0,0,0.6473474188789675,0.30032037955935237,True,0.19298245614035087,1.0,0.6287399240944582,24,0.1425,1.0,0.8421052631578947,0.7114808011118439,0.18198902660532618,0.08265251823734308,True
500,9,uncontrolled,2,1,0.6501601897796762,57,8,active,0.30032037955935237,0.6473474188789675,0,0,0.6473474188789675,0.30032037955935237,True,0.2112560452419701,1.0,0.6287399240944582,19,0.1425,1.0,1.0,0.8024518474430402,0.12460729175065456,0.05915169266775207,True
500,10,uncontrolled,2,1,0.6501601897796762,50,9,active,0.30032037955935237,0.6473474188789675,0,0,0.6473474188789675,0.30032037955935237,True,0.31240998703626616,1.0,0.786095073674149,17,0.125,0.8771929824561403,1.0,0.6842599392230038,0.1991591081028434,0.18875244972615668,True
