eps,L_exact,L_H,half_L_H,ratio_2L_over_LH
0.0,8.881784197001252e-16,0.0,0.0,inf
0.0001,3.239497559093252e-10,6.479008998319133e-10,3.2395044991595663e-10,0.9999978576765933
0.00010473708979594497,3.553681793277974e-10,7.10736371581422e-10,3.55368185790711e-10,0.9999999818134716
0.00010969857978923841,3.8983216654742137e-10,7.796657364033689e-10,3.8983286820168443e-10,0.9999982001151768
0.00011489510001873086,4.276401455172163e-10,8.552799773552703e-10,4.2763998867763515e-10,1.0000003667561157
0.00012033778407775893,4.691136368251136e-10,9.382273887945498e-10,4.691136943972749e-10,0.9999998772746096
0.00012603829296797275,5.146096881958329e-10,1.0292191339171632e-09,5.146095669585816e-10,1.0000002355907451
0.0001320088400831418,5.645182099556223e-10,1.1290353411729247e-09,5.645176705864624e-10,1.0000009554513314
0.00013826221737646565,6.19265527745938e-10,1.2385317918021844e-09,6.192658959010922e-10,0.9999994054974501
0.0001448118227674533,6.793241524860605e-10,1.3586472558027653e-09,6.793236279013826e-10,1.000000772216152
0.00015167168884709225,7.45205674945737e-10,1.4904115391909541e-09,7.452057695954771e-10,0.9999998729884497
0.00015885651294280528,8.174767529567362e-10,1.6349543115136158e-09,8.174771557568079e-10,0.9999995072644307
0.0001663816886076129,8.967573350560087e-10,1.7935147892520928e-09,8.967573946260464e-10,0.9999999335717352
0.00017426333860096508,9.837259895562056e-10,1.9674523580898324e-09,9.837261790449162e-10,0.9999998073765702
0.00018251834943190426,1.0791287863298749e-09,2.158258225057017e-09,1.0791291125285085e-09,0.9999996977204768
0.00019116440753857018,1.1837837377015603e-09,2.3675682003864135e-09,1.1837841001932067e-09,0.9999996937856773
0.00020022003718155845,1.2985887920535788e-09,2.5971767185893487e-09,1.2985883592946744e-09,1.0000003332533371
0.00020970464013232327,1.4245262747181187e-09,2.8490522188734786e-09,1.4245261094367393e-09,1.0000001160255176
0.0002196385372416547,1.562677098831955e-09,3.125354016664088e-09,1.562677008332044e-09,1.0000000579133823
0.0002300430119772917,1.714225206228548e-09,3.4284508107587597e-09,1.7142254053793799e-09,0.9999998838245943
0.00024094035602395243,1.8804708901143385e-09,3.760940984649573e-09,1.8804704923247867e-09,1.0000002115372475
0.0002523539170434766,2.062837900496106e-09,4.125674875907774e-09,2.062837437953887e-09,1.0000002242262094
0.00026430814869741055,2.2628903195709427e-09,4.5257792043746615e-09,2.2628896021873308e-09,1.0000003170210385
