tau,P_tau_q0,P_tau_q0.5,P_tau_q1,P_tau_q2
0.0,0.0,0.0,0.0,0.0
0.005,4.283761789736218e-08,0.0013641696398138947,0.005441038778064566,0.021419226689330273
0.005599830986440489,5.999407015622182e-08,0.00152224820759983,0.006069416702958463,0.023847753636255575
0.0062716214153398136,8.399069173492535e-08,0.001697894959173496,0.006767082749842501,0.026532885747965196
0.007024003987368738,1.1753697215510783e-07,0.001892871367880744,0.007540838970044206,0.02949701407732519
0.007866647035469803,1.644056411009842e-07,0.002109065764830831,0.008397935430362935,0.03276324955808896
0.008810378765722805,2.298441863501921e-07,0.002348488500308221,0.009346036767764687,0.036355071908268144
0.009867326402914376,3.21142445969258e-07,0.0026132619877117236,0.010393165085829992,0.04029584770089123
0.011051072028872462,4.4841357116354175e-07,0.002905604083489166,0.011547612347224678,0.04460818709084613
0.012376827116133164,6.256657885117534e-07,0.003227802919361089,0.01281781395635484,0.049313103751537746
0.013861627999747883,8.722687248052807e-07,0.003582180919081246,0.014212173571558573,0.05442893745690114
0.015524554799099862,1.2149526895655072e-06,0.0039710453055219475,0.015738827359559338,0.05996999371697065
0.017386976602938566,1.6905238844344694e-06,0.004396621946319179,0.017405333961740155,0.06594485036673436
0.01947282606833024,2.349535237478051e-06,0.004860968919559561,0.01921827448501645,0.07235427766312164
0.021808906962200374,3.261223512573963e-06,0.005365865742462006,0.02118274503402784,0.07918871721285647
0.02442523859746548,4.5201097202962615e-06,0.005912673854770567,0.02330172294042665,0.08642526731387434
0.027355441589857903,6.2547620043318375e-06,0.006502163774385394,0.025575287335152908,0.09402413003328647
0.03063716989252984,8.639335460358666e-06,0.007134304475995279,0.02799967565748407,0.10192449142163529
0.03431259466020605,1.1908624816037161e-05,0.007808011167948159,0.03056616096228204,0.110039834771122
0.03842894616067889,1.6377479227891456e-05,0.008520849009380882,0.03325974166432388,0.11825273363075262
0.04303912069736459,2.246550806006553e-05,0.009268692750590724,0.036057647246581226,0.1264092447889027
0.04820236034205092,3.072801041703599e-05,0.01004534621811981,0.03892768254681833,0.13431313361648556
0.053985014212597396,4.1893924775493474e-05,0.010842131516707099,0.04182646215681096,0.1417203321147209
0.06046139107822663,5.6911224856293074e-05,0.011647466372519233,0.04469762838976532,0.14833427793493037
0.06771471424863006,7.699945589756396e-05,0.01244645980437209,0.04747020475974395,0.15380314447495014
0.07583819101748838,0.00010370784942637101,0.013220571797832648,0.05005731553944326,0.1577204944163899
0.08493621040306486,0.00013897548668495574,0.013947402083101856,0.05235560342643364,0.15963163208565767
0.0951256845771824,0.00018518711575410407,0.014600696032021965,0.054245801803987526,0.15904896158151516
