n,dof,R_eff,emp_mean,theo_mean,emp_var,theo_var,ks_stat,ks_p,chi2_crit_95,emp_reject_rate_alpha05
30,9,2000,11.478815369269345,9,28.138550351230148,18,0.20898523133902147,4.200793016685148e-77,16.918977604620448,0.152
50,9,2000,10.338029756115093,9,24.00716111366959,18,0.11198428871789073,2.659203634409331e-22,16.918977604620448,0.098
100,9,2000,9.637743195844447,9,19.585045510658436,18,0.06275646328192652,2.728625856241881e-07,16.918977604620448,0.0625
200,9,2000,9.354107302470885,9,19.374011882716935,18,0.037944649004474085,0.006142345591721896,16.918977604620448,0.0585
500,9,2000,9.154294893227995,9,17.913877591346733,18,0.02913835062601927,0.06569351504796361,16.918977604620448,0.051
1000,9,2000,9.053234206998109,9,18.641102319835383,18,0.010528848873130603,0.9779528556573381,16.918977604620448,0.0535
