T_ramp,max_baseline,max_tighter_tol,max_denser_grid,abs_diff_tol,abs_diff_grid,rel_diff_tol,rel_diff_grid
0.02,4.220304632962524e-05,1.7763568394002505e-15,4.220280095079687e-05,4.220304632784888e-05,2.45378828367393e-10,0.9999999999579092,5.81424446119058e-06
0.2,3.8281825951891335e-05,1.7763568394002505e-15,3.8306768940898905e-05,3.828182595011498e-05,2.4942989007570304e-08,0.9999999999535979,0.0006515621548176957
0.25,3.5695398443280624e-05,8.881784197001252e-16,3.569566659500367e-05,3.5695398442392445e-05,2.681517230485042e-10,0.9999999999751178,7.512221035285338e-06
1,1.3001436958148815e-05,1.3001438763815543e-05,1.3001392844103066e-05,1.8056667272503546e-12,4.411404574966582e-11,1.3888208919235117e-07,3.3930130870662554e-06
8,4.383806659902234e-07,4.383805345398173e-07,4.383817442388249e-07,1.3145040611561853e-13,1.078248601515952e-12,2.998544787979999e-07,2.4596171436538643e-06
