T_ramp,K,L_max_ramp,t_peak_ramp,L_max_post,t_peak_post,L_max_full,t_peak_full,t_peak_full_over_Tramp,peak_location,refine_t,refine_L,refine_vs_coarse_diff
0.001,1,0.0422786940140325,0.0,0.07872930031836045,0.06804252126063032,0.07872930031836045,0.06804252126063032,68.04252126063031,post-ramp,nan,nan,nan
0.001,2,8.881784197001252e-16,0.0,0.026627718068639616,0.06804252126063032,0.026627718068639616,0.06804252126063032,68.04252126063031,post-ramp,nan,nan,nan
0.001,3,0.0,0.0,4.222250120911042e-05,0.10406503251625812,4.222250120911042e-05,0.10406503251625812,104.06503251625811,post-ramp,0.10123259579789896,4.2189493434818814e-05,-3.300777429160462e-08
0.001,4,0.0,0.0,1.639507330875034e-05,0.10406503251625812,1.639507330875034e-05,0.10406503251625812,104.06503251625811,post-ramp,nan,nan,nan
0.00113036,1,0.0422786940140325,0.0,0.07868684901770795,0.06804362987493746,0.07868684901770795,0.06804362987493746,60.19642403741946,post-ramp,nan,nan,nan
0.00113036,2,8.881784197001252e-16,0.0,0.026591687016994214,0.06804362987493746,0.026591687016994214,0.06804362987493746,60.19642403741946,post-ramp,nan,nan,nan
0.00113036,3,0.0,0.0,4.222337654624653e-05,0.104066728044022,4.222337654624653e-05,0.104066728044022,92.0651191160533,post-ramp,0.10123424517687511,4.2187001999316465e-05,-3.637454693006248e-08
0.00113036,4,0.0,0.0,1.639543139564381e-05,0.104066728044022,1.639543139564381e-05,0.104066728044022,92.0651191160533,post-ramp,nan,nan,nan
0.00127771,1,0.0422786940140325,0.0,0.07863887000772074,0.06804488297648824,0.07863887000772074,0.06804488297648824,53.255341960607836,post-ramp,nan,nan,nan
0.00127771,2,8.881784197001252e-16,0.0,0.026550968994232704,0.06804488297648824,0.026550968994232704,0.06804488297648824,53.255341960607836,post-ramp,nan,nan,nan
0.00127771,3,0.0,0.0,4.222428264633038e-05,0.10406864455227613,4.222428264633038e-05,0.10406864455227613,81.44934652798845,post-ramp,0.10123610952170585,4.218409988521188e-05,-4.0182761118501276e-08
0.00127771,4,0.0,0.0,1.639580380974337e-05,0.10406864455227613,1.639580380974337e-05,0.10406864455227613,81.44934652798845,post-ramp,nan,nan,nan
0.00144428,1,0.0422786940140325,0.0,0.0785846092515925,0.06804629952976488,0.0785846092515925,0.06804629952976488,47.11434038397324,post-ramp,nan,nan,nan
0.00144428,2,8.881784197001252e-16,0.0,0.026504925716375638,0.06804629952976488,0.026504925716375638,0.06804629952976488,47.11434038397324,post-ramp,nan,nan,nan
0.00144428,3,0.0,0.0,4.22251872578272e-05,0.10407081104552275,4.22251872578272e-05,0.10407081104552275,72.05722646960614,post-ramp,0.10563987865820909,4.218603491423778e-05,-3.9152343589421434e-08
0.00144428,4,0.0,0.0,1.639617836435292e-05,0.10407081104552275,1.639617836435292e-05,0.10407081104552275,72.05722646960614,post-ramp,nan,nan,nan
0.00163255,1,0.0422786940140325,0.0,0.07852326308395874,0.06804790062531266,0.07852326308395874,0.06804790062531266,41.68197030737966,post-ramp,nan,nan,nan
0.00163255,2,8.881784197001252e-16,0.0,0.026452877650908313,0.06804790062531266,0.026452877650908313,0.06804790062531266,41.68197030737966,post-ramp,nan,nan,nan
0.00163255,3,0.0,0.0,4.2226057005656514e-05,0.10407325977988995,4.2226057005656514e-05,0.10407325977988995,63.74889576422771,post-ramp,0.10564236431195596,4.218951444645569e-05,-3.654255920082505e-08
0.00163255,4,0.0,0.0,1.6396542450891616e-05,0.10407325977988995,1.6396542450891616e-05,0.10407325977988995,63.74889576422771,post-ramp,nan,nan,nan
0.00184537,1,0.0422786940140325,0.0,0.07845389629171695,0.06804971050025013,0.07845389629171695,0.06804971050025013,36.87591675395727,post-ramp,nan,nan,nan
0.00184537,2,8.881784197001252e-16,0.0,0.026394034340987638,0.06804971050025013,0.026394034340987638,0.06804971050025013,36.87591675395727,post-ramp,nan,nan,nan
0.00184537,3,0.0,0.0,4.22268512894064e-05,0.10407602782391197,4.22268512894064e-05,0.10407602782391197,56.398460917817005,post-ramp,0.1056451740895648,4.2193260822109835e-05,-3.3590467296562565e-08
0.00184537,4,0.0,0.0,1.6396880715419115e-05,0.10407602782391197,1.6396880715419115e-05,0.10407602782391197,56.398460917817005,post-ramp,nan,nan,nan
0.002,1,0.0422786940140325,0.0,0.07840348207685288,0.06805102551275638,0.07840348207685288,0.06805102551275638,34.02551275637819,post-ramp,nan,nan,nan
0.002,2,8.881784197001252e-16,0.0,0.026351274840724415,0.06805102551275638,0.026351274840724415,0.06805102551275638,34.02551275637819,post-ramp,nan,nan,nan
0.002,3,0.0,0.0,4.222730055314372e-05,0.10407803901950975,4.222730055314372e-05,0.10407803901950975,52.03901950975487,post-ramp,0.10564721560780391,4.21958593062044e-05,-3.1441246939323264e-08
0.002,4,0.0,0.0,1.639707687939307e-05,0.10407803901950975,1.639707687939307e-05,0.10407803901950975,52.03901950975487,post-ramp,nan,nan,nan
0.00208593,1,0.0422786940140325,0.0,0.07837545291213033,0.06805175628314157,0.07837545291213033,0.06805175628314157,32.62418023765973,post-ramp,nan,nan,nan
